Bit_length,beta,gamma
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
6,0.7814552411000737,-0.8141014213125097
6,-0.7813469432278305,0.7851262490202641
6,0.7618548815260403,-0.791371458440466
6,-0.7813469432278305,0.7851262490202641
6,-0.7813469432278305,0.7851262490202641
6,0.7618548815260403,-0.791371458440466
6,0.7618548815260403,-0.791371458440466
6,0.7618548815260403,-0.791371458440466
6,0.7814552411000737,-0.8141014213125097
6,0.7618548815260403,-0.791371458440466
7,-0.7606577279721894,0.7836275378882229
7,-0.7606577279721894,0.7836275378882229
7,0.7813520067262125,-0.8188436985350319
7,-0.7606577279721894,0.7836275378882229
7,-0.7820963122376615,0.8615611521464019
7,-0.6459867162355343,0.6134590188128513
7,-0.7822738271048336,0.8600405161691558
7,-0.7606577279721894,0.7836275378882229
7,-0.7822738271048336,0.8600405161691558
7,-0.7606577279721894,0.7836275378882229
8,-0.7165629683604833,0.681831798039887
8,-0.42569922317031567,0.4547880577914227
8,-0.4328259221729492,0.3857156682061259
8,-0.7665218880635807,0.8935590209798782
8,0.45540098836398185,-0.4975403923911282
8,0.5697682203985895,-0.6010867900947747
8,-0.7165629683604833,0.681831798039887
8,0.6247437269034216,-0.6357608732896757
8,-0.715099813567968,0.6463223823347254
8,0.7736617435460582,-0.8671181614974376
9,-0.7833816685398558,0.85156384499064
9,-0.7844327766129777,0.7818030311100922
9,-0.6846397371670326,0.7145601905834209
9,0.7704549620494525,-0.8046772306592862
9,-0.7824075462629434,0.8247386117894371
9,-0.7252551815378403,0.719721565965468
9,-0.7508955069683919,0.7941858811551314
9,-0.7824075462629434,0.8247386117894371
9,-0.6936244190464593,0.7056059108441446
9,-0.7252551815378403,0.719721565965468
10,-0.7804921263758748,0.8064177897071076
10,-0.7822317260300444,0.8619525451033799
10,-0.7154513367420027,0.7419339356606592
10,-0.7357524597709563,0.7640388965180157
10,-0.7820208636219842,0.8459481087718506
10,-0.7837242765048413,0.8584949228845172
10,-0.7820208636219842,0.8459481087718506
10,0.7818541739222375,-0.830843721497939
10,0.7798421781870224,-0.8128340821896695
10,-0.573554722234631,2.9042596804424647
11,-0.5155855428385367,0.6288628415070157
11,-0.7724979600076592,0.8566157023290981
11,-0.5155855428385367,0.6288628415070157
11,-0.7605691065500709,0.8062210184619995
11,-0.7664016850776928,0.7743775680581588
11,-0.3931382707443834,0.4382742280177989
11,-0.568472051957659,0.605497281303077
11,0.6720280907688595,-0.6222642525409904
11,0.49481984573307397,-0.55864212981635
11,-0.5914110463490284,0.6125704139606898
12,-0.7173839454984806,0.6904401283348757
12,0.7671087378343163,-0.8543578794433206
12,-0.7817062659951154,0.8516871930524933
12,0.6946771337412749,-0.7098203793712313
12,0.7438318824855998,-0.8042879872071563
12,0.7634176135543238,-0.8359582229721078
12,-0.6891563423516536,0.6917949985862604
12,0.7596062205461404,-0.7507316023838224
12,0.8862736106265605,1.3510963416471646
12,0.4088906568681454,-0.38475613002564313
13,-0.47698940398490763,0.6051537315212533
13,-0.7368056327579747,0.7493549410044439
13,0.6668043117447942,-0.7809214894051456
13,0.7223082703166844,-0.6828314797873968
13,0.5613233803004499,-0.6869626857489427
13,0.7339727365103856,-0.7378589589314717
13,-0.6062147051749283,0.49863124596851616
13,-0.6298987055718264,0.6088899794053012
13,0.7248023054496223,-0.6810480253655038
13,-0.5522563125496204,0.6828153458064037
14,0.5556829291710583,-0.5994225340178257
14,0.43020679247608595,-0.4876776213058611
14,-0.5650885230818647,0.5067216312594971
14,-0.5789780689030213,0.6364263115047015
14,0.6329031634081901,1.8173176100500237
14,-0.5977814504485269,0.6016186368782244
14,-0.7301861909291121,0.6767859803137743
14,0.6061291629546995,-0.6292485023235729
14,-0.4523889314438917,2.095883979816627
14,-0.5630878050497065,0.513610019186414
15,0.5309158538749517,-0.6551338033681783
15,-0.588429821363701,0.6103246612129939
15,0.716995493508453,-0.787861879595539
15,0.6659332142756227,-0.757923263310973
15,-0.588819221912834,0.6533458021580745
15,-0.540700263747651,0.5888939509505627
15,-0.49413983937842393,1.767027554509172
