Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,365.0,3.0,236.0,236.0,0.829,0.829,0.0,0.829,0.17100000000000004
9.0,489.0,3.0,394.0,394.0,0.809,0.809,0.0,0.809,0.19099999999999995
9.0,365.0,3.0,236.0,236.0,0.827,0.827,0.0,0.827,0.17300000000000004
9.0,485.0,3.0,278.0,278.0,0.862,0.862,0.0,0.862,0.138
9.0,395.0,3.0,290.0,290.0,0.729,0.729,0.0,0.729,0.271
9.0,365.0,3.0,236.0,236.0,0.826,0.826,0.0,0.826,0.17400000000000004
9.0,411.0,3.0,231.0,231.0,0.793,0.793,0.0,0.793,0.20699999999999996
9.0,335.0,3.0,169.0,169.0,0.732,0.732,0.0,0.732,0.268
9.0,489.0,3.0,506.0,361.0,0.193,0.624,0.624,0.817,0.18300000000000005
9.0,451.0,3.0,381.0,381.0,0.802,0.802,0.0,0.802,0.19799999999999995
9.0,415.0,3.0,217.0,217.0,0.695,0.695,0.0,0.695,0.30500000000000005
9.0,451.0,3.0,381.0,381.0,0.77,0.77,0.0,0.77,0.22999999999999998
9.0,407.0,3.0,198.0,198.0,0.601,0.601,0.0,0.601,0.399
9.0,497.0,3.0,273.0,273.0,0.649,0.649,0.0,0.649,0.351
9.0,505.0,3.0,283.0,283.0,0.928,0.928,0.0,0.928,0.07199999999999995
9.0,505.0,3.0,283.0,283.0,0.905,0.905,0.0,0.905,0.09499999999999997
9.0,505.0,3.0,238.0,238.0,0.907,0.907,0.0,0.907,0.09299999999999997
9.0,451.0,3.0,381.0,381.0,0.815,0.815,0.0,0.815,0.18500000000000005
9.0,451.0,3.0,619.0,588.0,0.516,0.368,0.368,0.884,0.11599999999999999
9.0,473.0,3.0,278.0,278.0,0.886,0.886,0.0,0.886,0.11399999999999999
9.0,481.0,3.0,246.0,246.0,0.934,0.934,0.0,0.934,0.06599999999999995
9.0,471.0,3.0,437.0,437.0,0.663,0.663,0.0,0.663,0.33699999999999997
9.0,493.0,3.0,285.0,285.0,0.566,0.566,0.0,0.566,0.43400000000000005
9.0,453.0,3.0,445.0,445.0,0.501,0.501,0.0,0.501,0.499
9.0,473.0,3.0,278.0,278.0,0.873,0.873,0.0,0.873,0.127
9.0,417.0,3.0,121.0,121.0,0.795,0.795,0.0,0.795,0.20499999999999996
9.0,391.0,3.0,161.0,161.0,0.771,0.771,0.0,0.771,0.22899999999999998
9.0,453.0,3.0,282.0,282.0,0.741,0.741,0.0,0.741,0.259
9.0,473.0,3.0,445.0,445.0,0.904,0.904,0.0,0.904,0.09599999999999997
9.0,481.0,3.0,246.0,246.0,0.94,0.94,0.0,0.94,0.06000000000000005
