Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,407.0,3.0,237.0,237.0,0.944,0.944,0.0,0.944,0.05600000000000005
9.0,511.0,3.0,306.0,306.0,0.887,0.887,0.0,0.887,0.11299999999999999
9.0,451.0,3.0,597.0,597.0,0.563,0.563,0.0,0.563,0.43700000000000006
9.0,469.0,3.0,69.0,69.0,0.724,0.724,0.0,0.724,0.276
9.0,437.0,3.0,278.0,278.0,0.567,0.567,0.0,0.567,0.43300000000000005
9.0,355.0,3.0,348.0,348.0,0.85,0.85,0.0,0.85,0.15000000000000002
9.0,355.0,3.0,348.0,348.0,0.864,0.864,0.0,0.864,0.136
9.0,501.0,3.0,509.0,509.0,0.645,0.645,0.0,0.645,0.355
9.0,473.0,3.0,445.0,445.0,0.911,0.911,0.0,0.911,0.08899999999999997
9.0,473.0,3.0,278.0,278.0,0.754,0.754,0.0,0.754,0.246
9.0,493.0,3.0,285.0,285.0,0.512,0.512,0.0,0.512,0.488
9.0,415.0,3.0,181.0,181.0,0.511,0.511,0.0,0.511,0.489
9.0,451.0,3.0,381.0,381.0,0.834,0.834,0.0,0.834,0.16600000000000004
9.0,411.0,3.0,231.0,231.0,0.966,0.966,0.0,0.966,0.03400000000000003
9.0,355.0,3.0,213.0,213.0,0.828,0.828,0.0,0.828,0.17200000000000004
9.0,489.0,3.0,506.0,361.0,0.168,0.554,0.554,0.7220000000000001,0.2779999999999999
9.0,473.0,3.0,278.0,278.0,0.778,0.778,0.0,0.778,0.22199999999999998
9.0,493.0,3.0,345.0,345.0,0.819,0.819,0.0,0.819,0.18100000000000005
9.0,453.0,3.0,445.0,445.0,0.421,0.421,0.0,0.421,0.579
9.0,365.0,3.0,236.0,236.0,0.834,0.834,0.0,0.834,0.16600000000000004
10.0,1007.0,3.0,206.0,206.0,0.839,0.839,0.0,0.839,0.16100000000000003
10.0,815.0,3.0,303.0,303.0,0.897,0.897,0.0,0.897,0.10299999999999998
10.0,893.0,3.0,281.0,281.0,0.889,0.889,0.0,0.889,0.11099999999999999
10.0,655.0,3.0,212.0,212.0,0.848,0.848,0.0,0.848,0.15200000000000002
10.0,755.0,3.0,414.0,414.0,0.46,0.46,0.0,0.46,0.54
10.0,737.0,3.0,142.0,142.0,0.898,0.898,0.0,0.898,0.10199999999999998
10.0,933.0,3.0,141.0,141.0,0.585,0.585,0.0,0.585,0.41500000000000004
10.0,895.0,3.0,213.0,213.0,0.913,0.913,0.0,0.913,0.08699999999999997
10.0,655.0,3.0,358.0,358.0,0.321,0.321,0.0,0.321,0.679
10.0,943.0,3.0,289.0,289.0,0.489,0.489,0.0,0.489,0.511
10.0,703.0,3.0,57.0,57.0,0.603,0.603,0.0,0.603,0.397
10.0,815.0,3.0,303.0,303.0,0.89,0.89,0.0,0.89,0.10999999999999999
