Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,65.0,65.0,0.975,0.975,0.0,0.975,0.025000000000000022
8.0,221.0,3.0,65.0,65.0,0.66,0.66,0.0,0.66,0.33999999999999997
8.0,221.0,3.0,65.0,65.0,0.632,0.632,0.0,0.632,0.368
8.0,253.0,3.0,60.0,60.0,0.976,0.976,0.0,0.976,0.02400000000000002
8.0,201.0,3.0,49.0,49.0,0.961,0.961,0.0,0.961,0.039000000000000035
8.0,209.0,3.0,42.0,42.0,0.957,0.957,0.0,0.957,0.04300000000000004
8.0,187.0,3.0,42.0,42.0,0.974,0.974,0.0,0.974,0.026000000000000023
8.0,187.0,3.0,18.0,18.0,0.934,0.934,0.0,0.934,0.06599999999999995
8.0,205.0,3.0,108.0,105.0,0.628,0.239,0.239,0.867,0.133
8.0,215.0,3.0,70.0,70.0,0.839,0.839,0.0,0.839,0.16100000000000003
9.0,473.0,3.0,107.0,107.0,0.325,0.325,0.0,0.325,0.675
9.0,473.0,3.0,125.0,125.0,0.287,0.287,0.0,0.287,0.7130000000000001
9.0,437.0,3.0,69.0,69.0,0.273,0.273,0.0,0.273,0.727
9.0,355.0,3.0,70.0,70.0,0.978,0.978,0.0,0.978,0.02200000000000002
9.0,407.0,3.0,36.0,36.0,0.989,0.989,0.0,0.989,0.01100000000000001
9.0,355.0,3.0,70.0,70.0,0.987,0.987,0.0,0.987,0.013000000000000012
9.0,415.0,3.0,25.0,25.0,0.98,0.98,0.0,0.98,0.020000000000000018
9.0,415.0,3.0,25.0,25.0,0.966,0.966,0.0,0.966,0.03400000000000003
9.0,473.0,3.0,122.0,122.0,0.484,0.484,0.0,0.484,0.516
9.0,481.0,3.0,73.0,73.0,0.911,0.911,0.0,0.911,0.08899999999999997
10.0,1003.0,3.0,70.0,70.0,0.956,0.956,0.0,0.956,0.04400000000000004
10.0,869.0,3.0,69.0,69.0,0.719,0.719,0.0,0.719,0.281
10.0,905.0,3.0,60.0,60.0,0.972,0.972,0.0,0.972,0.028000000000000025
10.0,917.0,3.0,106.0,106.0,0.656,0.656,0.0,0.656,0.344
10.0,655.0,3.0,130.0,130.0,0.85,0.85,0.0,0.85,0.15000000000000002
10.0,893.0,3.0,73.0,73.0,0.917,0.917,0.0,0.917,0.08299999999999996
10.0,959.0,3.0,66.0,66.0,0.762,0.762,0.0,0.762,0.238
10.0,831.0,3.0,24.0,24.0,0.985,0.985,0.0,0.985,0.015000000000000013
10.0,755.0,3.0,78.0,78.0,0.891,0.891,0.0,0.891,0.10899999999999999
10.0,781.0,3.0,54.0,54.0,0.965,0.965,0.0,0.965,0.03500000000000003
11.0,1713.0,3.0,152.0,141.0,0.227,0.543,0.543,0.77,0.22999999999999998
11.0,1843.0,3.0,99.0,99.0,0.799,0.799,0.0,0.799,0.20099999999999996
11.0,1865.0,3.0,36.0,36.0,0.963,0.963,0.0,0.963,0.03700000000000003
11.0,1967.0,3.0,134.0,111.0,0.219,0.197,0.197,0.41600000000000004,0.584
11.0,1633.0,3.0,82.0,82.0,0.974,0.974,0.0,0.974,0.026000000000000023
11.0,1703.0,3.0,103.0,103.0,0.815,0.815,0.0,0.815,0.18500000000000005
11.0,1821.0,3.0,50.0,50.0,0.96,0.96,0.0,0.96,0.040000000000000036
11.0,1927.0,3.0,85.0,85.0,0.661,0.661,0.0,0.661,0.33899999999999997
11.0,1507.0,3.0,53.0,53.0,0.939,0.939,0.0,0.939,0.061000000000000054
11.0,1441.0,3.0,62.0,62.0,0.859,0.859,0.0,0.859,0.14100000000000001
12.0,3901.0,3.0,45.0,45.0,0.966,0.966,0.0,0.966,0.03400000000000003
12.0,3397.0,3.0,67.0,67.0,0.97,0.97,0.0,0.97,0.030000000000000027
12.0,2855.0,3.0,98.0,98.0,0.654,0.654,0.0,0.654,0.346
12.0,2831.0,3.0,73.0,73.0,0.917,0.917,0.0,0.917,0.08299999999999996
12.0,2893.0,3.0,78.0,78.0,0.753,0.753,0.0,0.753,0.247
12.0,2605.0,3.0,50.0,50.0,0.985,0.985,0.0,0.985,0.015000000000000013
12.0,3047.0,3.0,37.0,37.0,0.981,0.981,0.0,0.981,0.019000000000000017
12.0,3707.0,3.0,111.0,111.0,0.731,0.731,0.0,0.731,0.269
12.0,2981.0,3.0,71.0,71.0,0.913,0.913,0.0,0.913,0.08699999999999997
12.0,3149.0,3.0,117.0,117.0,0.357,0.357,0.0,0.357,0.643
13.0,6463.0,3.0,82.0,82.0,0.605,0.605,0.0,0.605,0.395
13.0,7729.0,3.0,101.0,101.0,0.904,0.904,0.0,0.904,0.09599999999999997
13.0,7217.0,3.0,54.0,54.0,0.958,0.958,0.0,0.958,0.04200000000000004
13.0,7241.0,3.0,113.0,105.0,0.364,0.56,0.56,0.924,0.07599999999999996
