Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,65.0,65.0,0.98,0.98,0.0,0.98,0.020000000000000018
8.0,221.0,3.0,50.0,50.0,0.985,0.985,0.0,0.985,0.015000000000000013
8.0,221.0,3.0,86.0,86.0,0.696,0.696,0.0,0.696,0.30400000000000005
8.0,253.0,3.0,60.0,60.0,0.984,0.984,0.0,0.984,0.016000000000000014
8.0,201.0,3.0,49.0,49.0,0.959,0.959,0.0,0.959,0.041000000000000036
8.0,209.0,3.0,90.0,90.0,0.713,0.713,0.0,0.713,0.28700000000000003
8.0,187.0,3.0,18.0,18.0,0.984,0.984,0.0,0.984,0.016000000000000014
8.0,187.0,3.0,42.0,42.0,0.986,0.986,0.0,0.986,0.014000000000000012
8.0,205.0,3.0,108.0,105.0,0.609,0.262,0.262,0.871,0.129
8.0,215.0,3.0,70.0,70.0,0.858,0.858,0.0,0.858,0.14200000000000002
9.0,473.0,3.0,125.0,125.0,0.339,0.339,0.0,0.339,0.661
9.0,473.0,3.0,107.0,107.0,0.376,0.376,0.0,0.376,0.624
9.0,437.0,3.0,102.0,102.0,0.836,0.836,0.0,0.836,0.16400000000000003
9.0,355.0,3.0,70.0,70.0,0.507,0.507,0.0,0.507,0.493
9.0,407.0,3.0,81.0,81.0,0.712,0.712,0.0,0.712,0.28800000000000003
9.0,355.0,3.0,70.0,70.0,0.973,0.973,0.0,0.973,0.027000000000000024
9.0,415.0,3.0,70.0,70.0,0.73,0.73,0.0,0.73,0.27
9.0,415.0,3.0,25.0,25.0,0.967,0.967,0.0,0.967,0.03300000000000003
9.0,473.0,3.0,107.0,107.0,0.405,0.405,0.0,0.405,0.595
9.0,481.0,3.0,39.0,39.0,0.961,0.961,0.0,0.961,0.039000000000000035
10.0,1003.0,3.0,43.0,43.0,0.969,0.969,0.0,0.969,0.031000000000000028
10.0,869.0,3.0,69.0,69.0,0.728,0.728,0.0,0.728,0.272
10.0,905.0,3.0,60.0,60.0,0.981,0.981,0.0,0.981,0.019000000000000017
10.0,917.0,3.0,60.0,60.0,0.973,0.973,0.0,0.973,0.027000000000000024
