Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
15.0,23713.0,4.0,74.0,74.0,0.737,0.737,0.0,0.737,0.263
15.0,30361.0,4.0,81.0,79.0,0.388,0.206,0.206,0.594,0.406
15.0,30901.0,4.0,46.0,46.0,0.737,0.737,0.0,0.737,0.263
15.0,30749.0,4.0,46.0,46.0,0.731,0.731,0.0,0.731,0.269
15.0,23389.0,4.0,41.0,41.0,0.905,0.905,0.0,0.905,0.09499999999999997
15.0,24991.0,4.0,60.0,60.0,0.753,0.753,0.0,0.753,0.247
15.0,30365.0,4.0,58.0,58.0,0.669,0.669,0.0,0.669,0.33099999999999996
15.0,32659.0,4.0,57.0,57.0,0.613,0.613,0.0,0.613,0.387
15.0,24887.0,4.0,76.0,75.0,0.273,0.375,0.375,0.648,0.352
15.0,27859.0,4.0,26.0,26.0,0.9,0.9,0.0,0.9,0.09999999999999998
16.0,41857.0,4.0,37.0,37.0,0.88,0.88,0.0,0.88,0.12
16.0,64259.0,4.0,26.0,26.0,0.737,0.737,0.0,0.737,0.263
16.0,58159.0,4.0,81.0,81.0,0.189,0.189,0.0,0.189,0.8109999999999999
16.0,55613.0,4.0,75.0,75.0,0.657,0.657,0.0,0.657,0.34299999999999997
16.0,60349.0,4.0,62.0,62.0,0.637,0.637,0.0,0.637,0.363
16.0,63461.0,4.0,82.0,69.0,0.327,0.522,0.522,0.849,0.15100000000000002
16.0,57857.0,4.0,45.0,45.0,0.81,0.81,0.0,0.81,0.18999999999999995
16.0,43489.0,4.0,58.0,58.0,0.636,0.636,0.0,0.636,0.364
16.0,39257.0,4.0,66.0,66.0,0.584,0.584,0.0,0.584,0.41600000000000004
16.0,62261.0,4.0,70.0,70.0,0.394,0.394,0.0,0.394,0.606
17.0,115519.0,4.0,62.0,62.0,0.383,0.383,0.0,0.383,0.617
17.0,128839.0,4.0,50.0,50.0,0.927,0.927,0.0,0.927,0.07299999999999995
17.0,125323.0,4.0,61.0,61.0,0.521,0.521,0.0,0.521,0.479
17.0,97957.0,4.0,46.0,46.0,0.677,0.677,0.0,0.677,0.32299999999999995
17.0,82807.0,4.0,69.0,69.0,0.441,0.441,0.0,0.441,0.5589999999999999
17.0,128963.0,4.0,31.0,31.0,0.696,0.696,0.0,0.696,0.30400000000000005
17.0,109009.0,4.0,65.0,65.0,0.553,0.553,0.0,0.553,0.44699999999999995
17.0,110053.0,4.0,43.0,43.0,0.941,0.941,0.0,0.941,0.05900000000000005
17.0,128641.0,4.0,74.0,74.0,0.451,0.451,0.0,0.451,0.5489999999999999
17.0,107297.0,4.0,69.0,69.0,0.882,0.882,0.0,0.882,0.118
18.0,178331.0,4.0,66.0,66.0,0.433,0.433,0.0,0.433,0.567
18.0,186497.0,4.0,61.0,61.0,0.77,0.77,0.0,0.77,0.22999999999999998
18.0,258547.0,4.0,62.0,62.0,0.673,0.673,0.0,0.673,0.32699999999999996
18.0,246823.0,4.0,61.0,61.0,0.684,0.684,0.0,0.684,0.31599999999999995
18.0,174373.0,4.0,81.0,81.0,0.388,0.388,0.0,0.388,0.612
18.0,166211.0,4.0,74.0,63.0,0.322,0.417,0.417,0.739,0.261
18.0,242587.0,4.0,74.0,74.0,0.545,0.545,0.0,0.545,0.45499999999999996
18.0,166241.0,4.0,90.0,90.0,0.641,0.641,0.0,0.641,0.359
18.0,159517.0,4.0,61.0,61.0,0.714,0.714,0.0,0.714,0.28600000000000003
18.0,214957.0,4.0,41.0,41.0,0.874,0.874,0.0,0.874,0.126
19.0,515303.0,4.0,62.0,62.0,0.88,0.88,0.0,0.88,0.12
19.0,440861.0,4.0,65.0,65.0,0.913,0.913,0.0,0.913,0.08699999999999997
19.0,483919.0,4.0,88.0,78.0,0.498,0.461,0.461,0.9590000000000001,0.040999999999999925
19.0,406639.0,4.0,85.0,85.0,0.644,0.644,0.0,0.644,0.356
19.0,297763.0,4.0,58.0,58.0,0.564,0.564,0.0,0.564,0.43600000000000005
19.0,441809.0,4.0,49.0,49.0,0.872,0.872,0.0,0.872,0.128
19.0,391271.0,4.0,49.0,49.0,0.456,0.456,0.0,0.456,0.544
19.0,382817.0,4.0,73.0,73.0,0.449,0.449,0.0,0.449,0.5509999999999999
19.0,421543.0,4.0,57.0,57.0,0.707,0.707,0.0,0.707,0.29300000000000004
19.0,444679.0,4.0,77.0,77.0,0.46,0.46,0.0,0.46,0.54
20.0,927053.0,5.0,44.0,44.0,0.444,0.444,0.0,0.444,0.556
20.0,998923.0,5.0,79.0,68.0,0.276,0.399,0.501,0.777,0.22299999999999998
20.0,951931.0,5.0,82.0,66.0,0.061,0.687,0.687,0.748,0.252
20.0,884911.0,5.0,71.0,71.0,0.481,0.481,0.0,0.481,0.519
20.0,687059.0,5.0,59.0,59.0,0.772,0.772,0.0,0.772,0.22799999999999998
20.0,926267.0,5.0,79.0,79.0,0.214,0.214,0.0,0.214,0.786
20.0,827257.0,5.0,47.0,47.0,0.255,0.255,0.0,0.255,0.745
20.0,755323.0,5.0,35.0,35.0,0.797,0.797,0.0,0.797,0.20299999999999996
20.0,1006001.0,5.0,29.0,29.0,0.908,0.908,0.0,0.908,0.09199999999999997
20.0,770689.0,5.0,38.0,38.0,0.632,0.632,0.0,0.632,0.368
21.0,1763599.0,5.0,50.0,50.0,0.67,0.67,0.0,0.67,0.32999999999999996
21.0,1350241.0,5.0,51.0,51.0,0.612,0.612,0.0,0.612,0.388
21.0,1712699.0,5.0,71.0,62.0,0.286,0.238,0.238,0.524,0.476
21.0,1721303.0,5.0,50.0,50.0,0.496,0.496,0.0,0.496,0.504
21.0,1658563.0,5.0,54.0,54.0,0.776,0.776,0.0,0.776,0.22399999999999998
21.0,1374799.0,5.0,66.0,63.0,0.593,0.291,0.291,0.8839999999999999,0.1160000000000001
21.0,1991629.0,5.0,91.0,76.0,0.11099999999999999,0.218,0.405,0.516,0.484
21.0,1726559.0,5.0,47.0,47.0,0.62,0.62,0.0,0.62,0.38
21.0,1599641.0,5.0,73.0,73.0,0.339,0.339,0.0,0.339,0.661
21.0,1518371.0,5.0,68.0,63.0,0.185,0.236,0.236,0.421,0.579
22.0,3354487.0,5.0,55.0,55.0,0.835,0.835,0.0,0.835,0.16500000000000004
22.0,2596801.0,5.0,53.0,53.0,0.491,0.491,0.0,0.491,0.509
22.0,2883407.0,5.0,58.0,58.0,0.573,0.573,0.0,0.573,0.42700000000000005
22.0,3395731.0,5.0,42.0,42.0,0.897,0.897,0.0,0.897,0.10299999999999998
22.0,3925963.0,5.0,64.0,64.0,0.182,0.182,0.0,0.182,0.8180000000000001
22.0,2731451.0,5.0,68.0,68.0,0.483,0.483,0.0,0.483,0.517
22.0,3106907.0,5.0,42.0,42.0,0.778,0.778,0.0,0.778,0.22199999999999998
22.0,3176123.0,5.0,38.0,38.0,0.646,0.646,0.0,0.646,0.354
22.0,2667671.0,5.0,73.0,73.0,0.448,0.448,0.0,0.448,0.552
22.0,3234899.0,5.0,60.0,60.0,0.843,0.843,0.0,0.843,0.15700000000000003
23.0,6893287.0,5.0,66.0,61.0,0.564,0.11,0.11,0.6739999999999999,0.32600000000000007
23.0,8126809.0,5.0,81.0,73.0,0.065,0.098,0.41000000000000003,0.47500000000000003,0.5249999999999999
23.0,5643343.0,5.0,51.0,51.0,0.788,0.788,0.0,0.788,0.21199999999999997
23.0,5284519.0,5.0,53.0,53.0,0.762,0.762,0.0,0.762,0.238
23.0,7125233.0,5.0,70.0,70.0,0.26,0.26,0.0,0.26,0.74
23.0,5626331.0,5.0,71.0,71.0,0.752,0.752,0.0,0.752,0.248
23.0,5572213.0,5.0,73.0,62.0,0.151,0.349,0.747,0.898,0.10199999999999998
23.0,6245461.0,5.0,68.0,68.0,0.425,0.425,0.0,0.425,0.575
23.0,7436563.0,5.0,83.0,75.0,0.067,0.013,0.013,0.08,0.92
23.0,6807041.0,5.0,82.0,63.0,0.243,0.322,0.5589999999999999,0.8019999999999999,0.19800000000000006
24.0,16027087.0,5.0,43.0,43.0,0.649,0.649,0.0,0.649,0.351
24.0,15007451.0,5.0,79.0,79.0,0.754,0.754,0.0,0.754,0.246
