Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,365.0,3.0,236.0,236.0,0.927,0.927,0.0,0.927,0.07299999999999995
9.0,489.0,3.0,394.0,394.0,0.804,0.804,0.0,0.804,0.19599999999999995
9.0,365.0,3.0,236.0,236.0,0.959,0.959,0.0,0.959,0.041000000000000036
9.0,485.0,3.0,278.0,278.0,0.87,0.87,0.0,0.87,0.13
9.0,395.0,3.0,290.0,290.0,0.75,0.75,0.0,0.75,0.25
9.0,365.0,3.0,236.0,236.0,0.945,0.945,0.0,0.945,0.05500000000000005
9.0,411.0,3.0,231.0,231.0,0.835,0.835,0.0,0.835,0.16500000000000004
9.0,335.0,3.0,169.0,169.0,0.767,0.767,0.0,0.767,0.23299999999999998
9.0,489.0,3.0,506.0,361.0,0.223,0.659,0.659,0.882,0.118
9.0,451.0,3.0,381.0,381.0,0.725,0.725,0.0,0.725,0.275
9.0,415.0,3.0,217.0,217.0,0.845,0.845,0.0,0.845,0.15500000000000003
9.0,451.0,3.0,381.0,381.0,0.739,0.739,0.0,0.739,0.261
9.0,407.0,3.0,198.0,198.0,0.752,0.752,0.0,0.752,0.248
9.0,497.0,3.0,273.0,273.0,0.654,0.654,0.0,0.654,0.346
9.0,505.0,3.0,283.0,283.0,0.955,0.955,0.0,0.955,0.04500000000000004
9.0,505.0,3.0,283.0,283.0,0.965,0.965,0.0,0.965,0.03500000000000003
9.0,505.0,3.0,238.0,238.0,0.906,0.906,0.0,0.906,0.09399999999999997
9.0,451.0,3.0,381.0,381.0,0.711,0.711,0.0,0.711,0.28900000000000003
9.0,451.0,3.0,619.0,588.0,0.433,0.431,0.431,0.864,0.136
9.0,473.0,3.0,278.0,278.0,0.924,0.924,0.0,0.924,0.07599999999999996
9.0,481.0,3.0,246.0,246.0,0.932,0.932,0.0,0.932,0.06799999999999995
9.0,471.0,3.0,437.0,437.0,0.639,0.639,0.0,0.639,0.361
9.0,493.0,3.0,285.0,285.0,0.619,0.619,0.0,0.619,0.381
9.0,453.0,3.0,445.0,445.0,0.586,0.586,0.0,0.586,0.41400000000000003
9.0,473.0,3.0,278.0,278.0,0.919,0.919,0.0,0.919,0.08099999999999996
9.0,417.0,3.0,121.0,121.0,0.875,0.875,0.0,0.875,0.125
9.0,391.0,3.0,161.0,161.0,0.819,0.819,0.0,0.819,0.18100000000000005
9.0,453.0,3.0,282.0,282.0,0.786,0.786,0.0,0.786,0.21399999999999997
9.0,473.0,3.0,445.0,445.0,0.927,0.927,0.0,0.927,0.07299999999999995
9.0,481.0,3.0,246.0,246.0,0.938,0.938,0.0,0.938,0.062000000000000055
9.0,473.0,3.0,445.0,445.0,0.943,0.943,0.0,0.943,0.05700000000000005
9.0,407.0,3.0,198.0,198.0,0.765,0.765,0.0,0.765,0.235
9.0,469.0,3.0,105.0,105.0,0.926,0.926,0.0,0.926,0.07399999999999995
9.0,411.0,3.0,231.0,231.0,0.829,0.829,0.0,0.829,0.17100000000000004
9.0,447.0,3.0,303.0,303.0,0.81,0.81,0.0,0.81,0.18999999999999995
10.0,959.0,3.0,90.0,90.0,0.966,0.966,0.0,0.966,0.03400000000000003
10.0,895.0,3.0,357.0,357.0,0.692,0.692,0.0,0.692,0.30800000000000005
10.0,995.0,3.0,142.0,142.0,0.939,0.939,0.0,0.939,0.061000000000000054
10.0,923.0,3.0,440.0,440.0,0.557,0.557,0.0,0.557,0.44299999999999995
10.0,871.0,3.0,558.0,558.0,0.782,0.782,0.0,0.782,0.21799999999999997
10.0,913.0,3.0,405.0,386.0,0.394,0.419,0.419,0.813,0.18700000000000006
10.0,817.0,3.0,515.0,515.0,0.886,0.886,0.0,0.886,0.11399999999999999
10.0,895.0,3.0,213.0,213.0,0.938,0.938,0.0,0.938,0.062000000000000055
10.0,901.0,3.0,193.0,193.0,0.972,0.972,0.0,0.972,0.028000000000000025
10.0,913.0,3.0,405.0,386.0,0.402,0.408,0.408,0.81,0.18999999999999995
10.0,745.0,3.0,337.0,337.0,0.78,0.78,0.0,0.78,0.21999999999999997
