Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,407.0,3.0,237.0,237.0,0.98,0.98,0.0,0.98,0.020000000000000018
9.0,511.0,3.0,306.0,306.0,0.935,0.935,0.0,0.935,0.06499999999999995
9.0,451.0,3.0,597.0,597.0,0.597,0.597,0.0,0.597,0.403
9.0,469.0,3.0,69.0,69.0,0.93,0.93,0.0,0.93,0.06999999999999995
9.0,437.0,3.0,278.0,278.0,0.561,0.561,0.0,0.561,0.43899999999999995
9.0,355.0,3.0,348.0,348.0,0.821,0.821,0.0,0.821,0.17900000000000005
9.0,355.0,3.0,348.0,348.0,0.847,0.847,0.0,0.847,0.15300000000000002
9.0,501.0,3.0,509.0,509.0,0.895,0.895,0.0,0.895,0.10499999999999998
9.0,473.0,3.0,445.0,445.0,0.979,0.979,0.0,0.979,0.02100000000000002
9.0,473.0,3.0,278.0,278.0,0.945,0.945,0.0,0.945,0.05500000000000005
9.0,493.0,3.0,285.0,285.0,0.72,0.72,0.0,0.72,0.28
9.0,415.0,3.0,181.0,181.0,0.819,0.819,0.0,0.819,0.18100000000000005
9.0,451.0,3.0,381.0,381.0,0.795,0.795,0.0,0.795,0.20499999999999996
9.0,411.0,3.0,231.0,231.0,0.996,0.996,0.0,0.996,0.0040000000000000036
9.0,355.0,3.0,213.0,213.0,0.943,0.943,0.0,0.943,0.05700000000000005
9.0,489.0,3.0,506.0,361.0,0.174,0.79,0.79,0.964,0.03600000000000003
9.0,473.0,3.0,278.0,278.0,0.948,0.948,0.0,0.948,0.052000000000000046
9.0,493.0,3.0,345.0,345.0,0.739,0.739,0.0,0.739,0.261
9.0,453.0,3.0,445.0,445.0,0.659,0.659,0.0,0.659,0.34099999999999997
9.0,365.0,3.0,236.0,236.0,0.976,0.976,0.0,0.976,0.02400000000000002
10.0,1007.0,3.0,206.0,206.0,0.973,0.973,0.0,0.973,0.027000000000000024
10.0,815.0,3.0,303.0,303.0,0.934,0.934,0.0,0.934,0.06599999999999995
10.0,893.0,3.0,281.0,281.0,0.972,0.972,0.0,0.972,0.028000000000000025
10.0,655.0,3.0,212.0,212.0,0.852,0.852,0.0,0.852,0.14800000000000002
10.0,755.0,3.0,414.0,414.0,0.653,0.653,0.0,0.653,0.347
10.0,737.0,3.0,142.0,142.0,0.92,0.92,0.0,0.92,0.07999999999999996
10.0,933.0,3.0,141.0,141.0,0.893,0.893,0.0,0.893,0.10699999999999998
10.0,895.0,3.0,213.0,213.0,0.969,0.969,0.0,0.969,0.031000000000000028
10.0,655.0,3.0,358.0,358.0,0.802,0.802,0.0,0.802,0.19799999999999995
10.0,943.0,3.0,289.0,289.0,0.612,0.612,0.0,0.612,0.388
10.0,703.0,3.0,57.0,57.0,0.922,0.922,0.0,0.922,0.07799999999999996
10.0,815.0,3.0,303.0,303.0,0.927,0.927,0.0,0.927,0.07299999999999995
10.0,835.0,3.0,415.0,415.0,0.885,0.885,0.0,0.885,0.11499999999999999
10.0,799.0,3.0,122.0,122.0,0.986,0.986,0.0,0.986,0.014000000000000012
10.0,695.0,3.0,205.0,205.0,0.948,0.948,0.0,0.948,0.052000000000000046
10.0,895.0,3.0,213.0,213.0,0.977,0.977,0.0,0.977,0.02300000000000002
10.0,785.0,3.0,406.0,406.0,0.937,0.937,0.0,0.937,0.06299999999999994
10.0,703.0,3.0,42.0,42.0,0.987,0.987,0.0,0.987,0.013000000000000012
10.0,731.0,3.0,311.0,311.0,0.926,0.926,0.0,0.926,0.07399999999999995
10.0,905.0,3.0,218.0,218.0,0.897,0.897,0.0,0.897,0.10299999999999998
11.0,2019.0,3.0,411.0,411.0,0.994,0.994,0.0,0.994,0.006000000000000005
11.0,1909.0,3.0,341.0,341.0,0.785,0.785,0.0,0.785,0.21499999999999997
11.0,1415.0,3.0,281.0,281.0,0.863,0.863,0.0,0.863,0.137
11.0,1315.0,3.0,446.0,446.0,0.756,0.756,0.0,0.756,0.244
11.0,1565.0,3.0,390.0,390.0,0.674,0.674,0.0,0.674,0.32599999999999996
11.0,1349.0,3.0,62.0,62.0,0.937,0.937,0.0,0.937,0.06299999999999994
11.0,1751.0,3.0,138.0,138.0,0.966,0.966,0.0,0.966,0.03400000000000003
11.0,1577.0,3.0,354.0,354.0,0.469,0.469,0.0,0.469,0.531
11.0,1241.0,3.0,554.0,554.0,0.728,0.728,0.0,0.728,0.272
11.0,1713.0,3.0,284.0,284.0,0.898,0.898,0.0,0.898,0.10199999999999998
11.0,1703.0,3.0,394.0,394.0,0.988,0.988,0.0,0.988,0.01200000000000001
11.0,1763.0,3.0,547.0,528.0,0.486,0.46,0.46,0.946,0.05400000000000005
11.0,1895.0,3.0,147.0,147.0,0.914,0.914,0.0,0.914,0.08599999999999997
11.0,1807.0,3.0,158.0,158.0,0.986,0.986,0.0,0.986,0.014000000000000012
11.0,1761.0,3.0,444.0,444.0,0.93,0.93,0.0,0.93,0.06999999999999995
11.0,1799.0,3.0,38.0,38.0,0.981,0.981,0.0,0.981,0.019000000000000017
11.0,1577.0,3.0,398.0,398.0,0.995,0.995,0.0,0.995,0.0050000000000000044
11.0,1507.0,3.0,357.0,357.0,0.378,0.378,0.0,0.378,0.622
11.0,1945.0,3.0,110.0,110.0,0.986,0.986,0.0,0.986,0.014000000000000012
11.0,1343.0,3.0,325.0,325.0,0.96,0.96,0.0,0.96,0.040000000000000036
12.0,2489.0,3.0,141.0,141.0,0.883,0.883,0.0,0.883,0.11699999999999999
12.0,2605.0,3.0,66.0,66.0,0.993,0.993,0.0,0.993,0.007000000000000006
12.0,3953.0,3.0,188.0,188.0,0.736,0.736,0.0,0.736,0.264
12.0,2981.0,3.0,457.0,457.0,0.77,0.77,0.0,0.77,0.22999999999999998
12.0,3679.0,3.0,533.0,533.0,0.559,0.559,0.0,0.559,0.44099999999999995
12.0,3287.0,3.0,310.0,310.0,0.988,0.988,0.0,0.988,0.01200000000000001
12.0,2869.0,3.0,314.0,314.0,0.589,0.589,0.0,0.589,0.41100000000000003
12.0,4043.0,3.0,322.0,322.0,0.506,0.506,0.0,0.506,0.494
12.0,3151.0,3.0,150.0,150.0,0.915,0.915,0.0,0.915,0.08499999999999996
12.0,3085.0,3.0,177.0,177.0,0.898,0.898,0.0,0.898,0.10199999999999998
12.0,3827.0,3.0,262.0,262.0,0.86,0.86,0.0,0.86,0.14
12.0,3349.0,3.0,252.0,252.0,0.98,0.98,0.0,0.98,0.020000000000000018
12.0,3743.0,3.0,341.0,341.0,0.532,0.532,0.0,0.532,0.46799999999999997
12.0,3419.0,3.0,106.0,106.0,0.996,0.996,0.0,0.996,0.0040000000000000036
12.0,3149.0,3.0,101.0,101.0,0.934,0.934,0.0,0.934,0.06599999999999995
12.0,3431.0,3.0,338.0,338.0,0.838,0.838,0.0,0.838,0.16200000000000003
12.0,3629.0,3.0,282.0,282.0,0.76,0.76,0.0,0.76,0.24
12.0,2641.0,3.0,489.0,390.0,0.199,0.762,0.762,0.9610000000000001,0.038999999999999924
12.0,3991.0,3.0,395.0,395.0,0.998,0.998,0.0,0.998,0.0020000000000000018
12.0,3071.0,3.0,108.0,108.0,0.966,0.966,0.0,0.966,0.03400000000000003
13.0,7361.0,3.0,738.0,678.0,0.245,0.285,0.577,0.822,0.17800000000000005
13.0,7997.0,4.0,74.0,74.0,0.626,0.626,0.0,0.626,0.374
13.0,5905.0,3.0,106.0,106.0,0.995,0.995,0.0,0.995,0.0050000000000000044
13.0,6187.0,3.0,313.0,313.0,0.983,0.983,0.0,0.983,0.017000000000000015
13.0,7939.0,4.0,28.0,28.0,0.538,0.538,0.0,0.538,0.46199999999999997
13.0,8131.0,4.0,94.0,94.0,0.445,0.445,0.0,0.445,0.5549999999999999
13.0,6259.0,3.0,315.0,315.0,0.966,0.966,0.0,0.966,0.03400000000000003
13.0,8173.0,4.0,74.0,74.0,0.934,0.934,0.0,0.934,0.06599999999999995
13.0,4811.0,3.0,514.0,514.0,0.676,0.676,0.0,0.676,0.32399999999999995
13.0,4369.0,3.0,150.0,150.0,0.895,0.895,0.0,0.895,0.10499999999999998
13.0,6589.0,3.0,205.0,205.0,0.915,0.915,0.0,0.915,0.08499999999999996
13.0,6455.0,3.0,648.0,593.0,0.296,0.69,0.69,0.986,0.014000000000000012
13.0,7391.0,3.0,421.0,421.0,0.961,0.961,0.0,0.961,0.039000000000000035
13.0,7601.0,3.0,165.0,165.0,0.982,0.982,0.0,0.982,0.018000000000000016
13.0,5183.0,3.0,53.0,53.0,0.989,0.989,0.0,0.989,0.01100000000000001
13.0,5195.0,3.0,533.0,533.0,0.68,0.68,0.0,0.68,0.31999999999999995
13.0,6697.0,3.0,692.0,438.0,0.022,0.926,0.926,0.9480000000000001,0.051999999999999935
13.0,7861.0,4.0,217.0,217.0,0.872,0.872,0.0,0.872,0.128
