Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,110.0,110.0,0.961,0.961,0.0,0.961,0.039000000000000035
8.0,221.0,3.0,161.0,161.0,0.782,0.782,0.0,0.782,0.21799999999999997
8.0,221.0,3.0,434.0,434.0,0.558,0.558,0.0,0.558,0.44199999999999995
8.0,253.0,3.0,66.0,66.0,0.734,0.734,0.0,0.734,0.266
8.0,201.0,3.0,141.0,141.0,0.72,0.72,0.0,0.72,0.28
8.0,209.0,3.0,515.0,505.0,0.256,0.434,0.434,0.69,0.31000000000000005
8.0,187.0,3.0,477.0,477.0,0.935,0.935,0.0,0.935,0.06499999999999995
8.0,187.0,3.0,337.0,337.0,0.615,0.615,0.0,0.615,0.385
8.0,205.0,3.0,98.0,98.0,0.833,0.833,0.0,0.833,0.16700000000000004
8.0,215.0,3.0,433.0,433.0,0.407,0.407,0.0,0.407,0.593
9.0,473.0,3.0,278.0,278.0,0.81,0.81,0.0,0.81,0.18999999999999995
9.0,473.0,3.0,278.0,278.0,0.807,0.807,0.0,0.807,0.19299999999999995
9.0,437.0,3.0,134.0,134.0,0.696,0.696,0.0,0.696,0.30400000000000005
9.0,355.0,3.0,348.0,348.0,0.769,0.769,0.0,0.769,0.23099999999999998
9.0,407.0,3.0,237.0,237.0,0.893,0.893,0.0,0.893,0.10699999999999998
9.0,355.0,3.0,348.0,348.0,0.746,0.746,0.0,0.746,0.254
9.0,415.0,3.0,217.0,217.0,0.83,0.83,0.0,0.83,0.17000000000000004
9.0,415.0,3.0,217.0,217.0,0.82,0.82,0.0,0.82,0.18000000000000005
9.0,473.0,3.0,445.0,445.0,0.853,0.853,0.0,0.853,0.14700000000000002
9.0,481.0,3.0,246.0,246.0,0.908,0.908,0.0,0.908,0.09199999999999997
10.0,1003.0,3.0,573.0,528.0,0.317,0.34,0.34,0.657,0.34299999999999997
10.0,869.0,3.0,197.0,197.0,0.868,0.868,0.0,0.868,0.132
10.0,905.0,3.0,197.0,197.0,0.795,0.795,0.0,0.795,0.20499999999999996
10.0,917.0,3.0,486.0,486.0,0.298,0.298,0.0,0.298,0.702
10.0,655.0,3.0,200.0,200.0,0.751,0.751,0.0,0.751,0.249
10.0,893.0,3.0,377.0,377.0,0.733,0.733,0.0,0.733,0.267
10.0,959.0,3.0,90.0,90.0,0.976,0.976,0.0,0.976,0.02400000000000002
10.0,831.0,3.0,366.0,366.0,0.912,0.912,0.0,0.912,0.08799999999999997
10.0,755.0,3.0,414.0,414.0,0.444,0.444,0.0,0.444,0.556
10.0,781.0,3.0,33.0,33.0,0.859,0.859,0.0,0.859,0.14100000000000001
11.0,1713.0,3.0,284.0,284.0,0.641,0.641,0.0,0.641,0.359
11.0,1843.0,3.0,117.0,117.0,0.798,0.798,0.0,0.798,0.20199999999999996
11.0,1865.0,3.0,104.0,104.0,0.92,0.92,0.0,0.92,0.07999999999999996
11.0,1967.0,3.0,122.0,122.0,0.778,0.778,0.0,0.778,0.22199999999999998
11.0,1633.0,3.0,609.0,609.0,0.607,0.607,0.0,0.607,0.393
11.0,1703.0,3.0,360.0,360.0,0.832,0.832,0.0,0.832,0.16800000000000004
