Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.223,0.223,0.0,0.223,0.777
8.0,221.0,3.0,86.0,86.0,0.716,0.716,0.0,0.716,0.28400000000000003
8.0,221.0,3.0,50.0,50.0,0.945,0.945,0.0,0.945,0.05500000000000005
8.0,253.0,3.0,81.0,81.0,0.957,0.957,0.0,0.957,0.04300000000000004
8.0,201.0,3.0,76.0,76.0,0.79,0.79,0.0,0.79,0.20999999999999996
8.0,209.0,3.0,45.0,45.0,0.957,0.957,0.0,0.957,0.04300000000000004
8.0,187.0,3.0,18.0,18.0,0.961,0.961,0.0,0.961,0.039000000000000035
8.0,187.0,3.0,18.0,18.0,0.966,0.966,0.0,0.966,0.03400000000000003
8.0,205.0,3.0,142.0,115.0,0.156,0.826,0.826,0.982,0.018000000000000016
8.0,215.0,3.0,70.0,70.0,0.867,0.867,0.0,0.867,0.133
9.0,473.0,3.0,122.0,122.0,0.49,0.49,0.0,0.49,0.51
9.0,473.0,3.0,122.0,122.0,0.494,0.494,0.0,0.494,0.506
9.0,437.0,3.0,66.0,66.0,0.809,0.809,0.0,0.809,0.19099999999999995
9.0,355.0,3.0,70.0,70.0,0.978,0.978,0.0,0.978,0.02200000000000002
9.0,407.0,3.0,33.0,33.0,0.98,0.98,0.0,0.98,0.020000000000000018
9.0,355.0,3.0,117.0,117.0,0.199,0.199,0.0,0.199,0.8009999999999999
9.0,415.0,3.0,25.0,25.0,0.959,0.959,0.0,0.959,0.041000000000000036
9.0,415.0,3.0,25.0,25.0,0.976,0.976,0.0,0.976,0.02400000000000002
9.0,473.0,3.0,122.0,122.0,0.492,0.492,0.0,0.492,0.508
9.0,481.0,3.0,39.0,39.0,0.857,0.857,0.0,0.857,0.14300000000000002
10.0,1003.0,3.0,70.0,70.0,0.952,0.952,0.0,0.952,0.04800000000000004
10.0,869.0,3.0,60.0,60.0,0.913,0.913,0.0,0.913,0.08699999999999997
10.0,905.0,3.0,60.0,60.0,0.946,0.946,0.0,0.946,0.05400000000000005
10.0,917.0,3.0,106.0,106.0,0.693,0.693,0.0,0.693,0.30700000000000005
10.0,655.0,3.0,130.0,130.0,0.894,0.894,0.0,0.894,0.10599999999999998
10.0,893.0,3.0,73.0,73.0,0.952,0.952,0.0,0.952,0.04800000000000004
10.0,959.0,3.0,66.0,66.0,0.704,0.704,0.0,0.704,0.29600000000000004
10.0,831.0,3.0,69.0,69.0,0.512,0.512,0.0,0.512,0.488
10.0,755.0,3.0,78.0,78.0,0.878,0.878,0.0,0.878,0.122
10.0,781.0,3.0,33.0,33.0,0.968,0.968,0.0,0.968,0.03200000000000003
11.0,1713.0,3.0,90.0,90.0,0.914,0.914,0.0,0.914,0.08599999999999997
11.0,1843.0,3.0,108.0,108.0,0.569,0.569,0.0,0.569,0.43100000000000005
11.0,1865.0,3.0,36.0,36.0,0.934,0.934,0.0,0.934,0.06599999999999995
11.0,1967.0,3.0,153.0,111.0,0.202,0.591,0.591,0.7929999999999999,0.20700000000000007
11.0,1633.0,3.0,105.0,105.0,0.695,0.695,0.0,0.695,0.30500000000000005
11.0,1703.0,3.0,103.0,103.0,0.852,0.852,0.0,0.852,0.14800000000000002
11.0,1821.0,3.0,118.0,118.0,0.772,0.772,0.0,0.772,0.22799999999999998
11.0,1927.0,3.0,85.0,85.0,0.71,0.71,0.0,0.71,0.29000000000000004
11.0,1507.0,3.0,62.0,62.0,0.954,0.954,0.0,0.954,0.04600000000000004
11.0,1441.0,3.0,34.0,34.0,0.943,0.943,0.0,0.943,0.05700000000000005
12.0,3901.0,3.0,45.0,45.0,0.94,0.94,0.0,0.94,0.06000000000000005
12.0,3397.0,3.0,67.0,67.0,0.936,0.936,0.0,0.936,0.06399999999999995
12.0,2855.0,3.0,98.0,98.0,0.544,0.544,0.0,0.544,0.45599999999999996
12.0,2831.0,3.0,118.0,118.0,0.636,0.636,0.0,0.636,0.364
12.0,2893.0,3.0,69.0,69.0,0.903,0.903,0.0,0.903,0.09699999999999998
