Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.322,0.322,0.0,0.322,0.6779999999999999
8.0,221.0,3.0,86.0,86.0,0.735,0.735,0.0,0.735,0.265
8.0,221.0,3.0,50.0,50.0,0.982,0.982,0.0,0.982,0.018000000000000016
8.0,253.0,3.0,81.0,81.0,0.992,0.992,0.0,0.992,0.008000000000000007
8.0,201.0,3.0,76.0,76.0,0.808,0.808,0.0,0.808,0.19199999999999995
8.0,209.0,3.0,45.0,45.0,0.988,0.988,0.0,0.988,0.01200000000000001
8.0,187.0,3.0,18.0,18.0,0.99,0.99,0.0,0.99,0.010000000000000009
8.0,187.0,3.0,18.0,18.0,0.991,0.991,0.0,0.991,0.009000000000000008
8.0,205.0,3.0,142.0,115.0,0.192,0.8,0.8,0.992,0.008000000000000007
8.0,215.0,3.0,70.0,70.0,0.876,0.876,0.0,0.876,0.124
9.0,473.0,3.0,122.0,122.0,0.503,0.503,0.0,0.503,0.497
9.0,473.0,3.0,122.0,122.0,0.478,0.478,0.0,0.478,0.522
9.0,437.0,3.0,66.0,66.0,0.857,0.857,0.0,0.857,0.14300000000000002
9.0,355.0,3.0,70.0,70.0,0.991,0.991,0.0,0.991,0.009000000000000008
9.0,407.0,3.0,33.0,33.0,0.994,0.994,0.0,0.994,0.006000000000000005
9.0,355.0,3.0,117.0,117.0,0.554,0.554,0.0,0.554,0.44599999999999995
9.0,415.0,3.0,25.0,25.0,0.985,0.985,0.0,0.985,0.015000000000000013
9.0,415.0,3.0,25.0,25.0,0.997,0.997,0.0,0.997,0.0030000000000000027
9.0,473.0,3.0,122.0,122.0,0.457,0.457,0.0,0.457,0.5429999999999999
9.0,481.0,3.0,39.0,39.0,0.94,0.94,0.0,0.94,0.06000000000000005
10.0,1003.0,3.0,70.0,70.0,0.968,0.968,0.0,0.968,0.03200000000000003
10.0,869.0,3.0,60.0,60.0,0.955,0.955,0.0,0.955,0.04500000000000004
10.0,905.0,3.0,60.0,60.0,0.975,0.975,0.0,0.975,0.025000000000000022
10.0,917.0,3.0,106.0,106.0,0.705,0.705,0.0,0.705,0.29500000000000004
10.0,655.0,3.0,130.0,130.0,0.923,0.923,0.0,0.923,0.07699999999999996
10.0,893.0,3.0,73.0,73.0,0.983,0.983,0.0,0.983,0.017000000000000015
10.0,959.0,3.0,66.0,66.0,0.9,0.9,0.0,0.9,0.09999999999999998
10.0,831.0,3.0,69.0,69.0,0.841,0.841,0.0,0.841,0.15900000000000003
10.0,755.0,3.0,78.0,78.0,0.907,0.907,0.0,0.907,0.09299999999999997
10.0,781.0,3.0,33.0,33.0,0.99,0.99,0.0,0.99,0.010000000000000009
