Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,407.0,3.0,33.0,33.0,0.979,0.979,0.0,0.979,0.02100000000000002
9.0,511.0,3.0,82.0,82.0,0.831,0.831,0.0,0.831,0.16900000000000004
9.0,451.0,3.0,25.0,25.0,0.98,0.98,0.0,0.98,0.020000000000000018
9.0,469.0,3.0,73.0,73.0,0.566,0.566,0.0,0.566,0.43400000000000005
9.0,437.0,3.0,102.0,102.0,0.826,0.826,0.0,0.826,0.17400000000000004
9.0,355.0,3.0,70.0,70.0,0.971,0.971,0.0,0.971,0.029000000000000026
9.0,355.0,3.0,70.0,70.0,0.519,0.519,0.0,0.519,0.481
9.0,501.0,3.0,56.0,56.0,0.976,0.976,0.0,0.976,0.02400000000000002
9.0,473.0,3.0,125.0,125.0,0.353,0.353,0.0,0.353,0.647
9.0,473.0,3.0,122.0,122.0,0.519,0.519,0.0,0.519,0.481
9.0,493.0,3.0,122.0,122.0,0.869,0.869,0.0,0.869,0.131
9.0,415.0,3.0,25.0,25.0,0.976,0.976,0.0,0.976,0.02400000000000002
9.0,451.0,3.0,25.0,25.0,0.956,0.956,0.0,0.956,0.04400000000000004
9.0,411.0,3.0,142.0,129.0,0.346,0.61,0.61,0.956,0.04400000000000004
9.0,355.0,3.0,70.0,70.0,0.959,0.959,0.0,0.959,0.041000000000000036
9.0,489.0,3.0,45.0,45.0,0.982,0.982,0.0,0.982,0.018000000000000016
9.0,473.0,3.0,125.0,125.0,0.343,0.343,0.0,0.343,0.657
9.0,493.0,3.0,125.0,125.0,0.982,0.982,0.0,0.982,0.018000000000000016
9.0,453.0,3.0,70.0,70.0,0.938,0.938,0.0,0.938,0.062000000000000055
9.0,365.0,3.0,38.0,38.0,0.452,0.452,0.0,0.452,0.548
10.0,1007.0,3.0,69.0,69.0,0.944,0.944,0.0,0.944,0.05600000000000005
10.0,815.0,3.0,46.0,46.0,0.954,0.954,0.0,0.954,0.04600000000000004
10.0,893.0,3.0,73.0,73.0,0.977,0.977,0.0,0.977,0.02300000000000002
10.0,655.0,3.0,130.0,130.0,0.866,0.866,0.0,0.866,0.134
10.0,755.0,3.0,78.0,78.0,0.884,0.884,0.0,0.884,0.11599999999999999
10.0,737.0,3.0,117.0,117.0,0.645,0.645,0.0,0.645,0.355
10.0,933.0,3.0,82.0,82.0,0.533,0.533,0.0,0.533,0.46699999999999997
10.0,895.0,3.0,49.0,49.0,0.972,0.972,0.0,0.972,0.028000000000000025
10.0,655.0,3.0,130.0,130.0,0.868,0.868,0.0,0.868,0.132
10.0,943.0,3.0,70.0,70.0,0.985,0.985,0.0,0.985,0.015000000000000013
10.0,703.0,3.0,41.0,41.0,0.947,0.947,0.0,0.947,0.05300000000000005
10.0,815.0,3.0,46.0,46.0,0.957,0.957,0.0,0.957,0.04300000000000004
10.0,835.0,3.0,49.0,49.0,0.979,0.979,0.0,0.979,0.02100000000000002
10.0,799.0,3.0,41.0,41.0,0.706,0.706,0.0,0.706,0.29400000000000004
10.0,695.0,3.0,58.0,58.0,0.961,0.961,0.0,0.961,0.039000000000000035
10.0,895.0,3.0,49.0,49.0,0.975,0.975,0.0,0.975,0.025000000000000022
10.0,785.0,3.0,78.0,78.0,0.974,0.974,0.0,0.974,0.026000000000000023
10.0,703.0,3.0,75.0,75.0,0.57,0.57,0.0,0.57,0.43000000000000005
10.0,731.0,3.0,36.0,36.0,0.809,0.809,0.0,0.809,0.19099999999999995
10.0,905.0,3.0,60.0,60.0,0.973,0.973,0.0,0.973,0.027000000000000024
11.0,2019.0,3.0,48.0,48.0,0.955,0.955,0.0,0.955,0.04500000000000004
11.0,1909.0,3.0,93.0,79.0,0.314,0.674,0.674,0.988,0.01200000000000001
11.0,1415.0,3.0,85.0,85.0,0.857,0.857,0.0,0.857,0.14300000000000002
11.0,1315.0,3.0,69.0,69.0,0.436,0.436,0.0,0.436,0.5640000000000001
11.0,1565.0,3.0,79.0,79.0,0.935,0.935,0.0,0.935,0.06499999999999995
11.0,1349.0,3.0,18.0,18.0,0.951,0.951,0.0,0.951,0.049000000000000044
11.0,1751.0,3.0,70.0,70.0,0.947,0.947,0.0,0.947,0.05300000000000005
11.0,1577.0,3.0,121.0,121.0,0.886,0.886,0.0,0.886,0.11399999999999999
11.0,1241.0,3.0,42.0,42.0,0.979,0.979,0.0,0.979,0.02100000000000002
11.0,1713.0,3.0,140.0,140.0,0.646,0.646,0.0,0.646,0.354
11.0,1703.0,3.0,105.0,105.0,0.884,0.884,0.0,0.884,0.11599999999999999
11.0,1763.0,3.0,82.0,82.0,0.796,0.796,0.0,0.796,0.20399999999999996
11.0,1895.0,3.0,86.0,86.0,0.89,0.89,0.0,0.89,0.10999999999999999
11.0,1807.0,3.0,60.0,60.0,0.934,0.934,0.0,0.934,0.06599999999999995
11.0,1761.0,3.0,66.0,66.0,0.956,0.956,0.0,0.956,0.04400000000000004
11.0,1799.0,3.0,29.0,29.0,0.872,0.872,0.0,0.872,0.128
11.0,1577.0,3.0,107.0,107.0,0.328,0.328,0.0,0.328,0.6719999999999999
11.0,1507.0,3.0,77.0,77.0,0.951,0.951,0.0,0.951,0.049000000000000044
11.0,1945.0,3.0,62.0,62.0,0.673,0.673,0.0,0.673,0.32699999999999996
11.0,1343.0,3.0,66.0,66.0,0.972,0.972,0.0,0.972,0.028000000000000025
12.0,2489.0,3.0,36.0,36.0,0.978,0.978,0.0,0.978,0.02200000000000002
12.0,2605.0,3.0,50.0,50.0,0.897,0.897,0.0,0.897,0.10299999999999998
12.0,3953.0,3.0,82.0,82.0,0.675,0.675,0.0,0.675,0.32499999999999996
12.0,2981.0,3.0,71.0,71.0,0.962,0.962,0.0,0.962,0.038000000000000034
12.0,3679.0,3.0,133.0,89.0,0.015,0.945,0.945,0.96,0.040000000000000036
12.0,3287.0,3.0,125.0,125.0,0.694,0.694,0.0,0.694,0.30600000000000005
12.0,2869.0,3.0,74.0,74.0,0.986,0.986,0.0,0.986,0.014000000000000012
12.0,4043.0,3.0,28.0,28.0,0.92,0.92,0.0,0.92,0.07999999999999996
12.0,3151.0,3.0,117.0,117.0,0.435,0.435,0.0,0.435,0.565
12.0,3085.0,3.0,132.0,132.0,0.642,0.642,0.0,0.642,0.358
12.0,3827.0,3.0,73.0,73.0,0.972,0.972,0.0,0.972,0.028000000000000025
12.0,3349.0,3.0,109.0,109.0,0.801,0.801,0.0,0.801,0.19899999999999995
12.0,3743.0,3.0,21.0,21.0,0.991,0.991,0.0,0.991,0.009000000000000008
12.0,3419.0,3.0,121.0,121.0,0.974,0.974,0.0,0.974,0.026000000000000023
12.0,3149.0,3.0,117.0,117.0,0.289,0.289,0.0,0.289,0.7110000000000001
12.0,3431.0,3.0,108.0,108.0,0.66,0.66,0.0,0.66,0.33999999999999997
12.0,3629.0,3.0,117.0,117.0,0.853,0.853,0.0,0.853,0.14700000000000002
12.0,2641.0,3.0,78.0,78.0,0.953,0.953,0.0,0.953,0.04700000000000004
12.0,3991.0,3.0,34.0,34.0,0.965,0.965,0.0,0.965,0.03500000000000003
12.0,3071.0,3.0,133.0,116.0,0.125,0.709,0.709,0.834,0.16600000000000004
13.0,7361.0,3.0,101.0,101.0,0.863,0.863,0.0,0.863,0.137
13.0,7997.0,4.0,69.0,69.0,0.246,0.246,0.0,0.246,0.754
13.0,5905.0,3.0,121.0,121.0,0.41,0.41,0.0,0.41,0.5900000000000001
13.0,6187.0,3.0,93.0,93.0,0.979,0.979,0.0,0.979,0.02100000000000002
13.0,7939.0,4.0,34.0,34.0,0.897,0.897,0.0,0.897,0.10299999999999998
13.0,8131.0,4.0,45.0,45.0,0.64,0.64,0.0,0.64,0.36
13.0,6259.0,3.0,42.0,42.0,0.998,0.998,0.0,0.998,0.0020000000000000018
13.0,8173.0,4.0,42.0,42.0,0.641,0.641,0.0,0.641,0.359
13.0,4811.0,3.0,69.0,69.0,0.635,0.635,0.0,0.635,0.365
13.0,4369.0,3.0,69.0,69.0,0.823,0.823,0.0,0.823,0.17700000000000005
13.0,6589.0,3.0,108.0,108.0,0.801,0.801,0.0,0.801,0.19899999999999995
13.0,6455.0,3.0,82.0,82.0,0.718,0.718,0.0,0.718,0.28200000000000003
13.0,7391.0,3.0,149.0,118.0,0.39,0.338,0.338,0.728,0.272
13.0,7601.0,3.0,50.0,50.0,0.991,0.991,0.0,0.991,0.009000000000000008
13.0,5183.0,3.0,44.0,44.0,0.992,0.992,0.0,0.992,0.008000000000000007
13.0,5195.0,3.0,40.0,40.0,0.981,0.981,0.0,0.981,0.019000000000000017
13.0,6697.0,3.0,86.0,86.0,0.932,0.932,0.0,0.932,0.06799999999999995
13.0,7861.0,4.0,18.0,18.0,0.952,0.952,0.0,0.952,0.04800000000000004
13.0,5633.0,3.0,72.0,72.0,0.887,0.887,0.0,0.887,0.11299999999999999
13.0,6605.0,3.0,81.0,81.0,0.943,0.943,0.0,0.943,0.05700000000000005
14.0,14267.0,4.0,46.0,46.0,0.808,0.808,0.0,0.808,0.19199999999999995
14.0,9563.0,4.0,48.0,48.0,0.696,0.696,0.0,0.696,0.30400000000000005
14.0,11309.0,4.0,44.0,44.0,0.86,0.86,0.0,0.86,0.14
14.0,15191.0,4.0,50.0,50.0,0.746,0.746,0.0,0.746,0.254
14.0,15689.0,4.0,30.0,30.0,0.59,0.59,0.0,0.59,0.41000000000000003
14.0,9673.0,4.0,54.0,54.0,0.705,0.705,0.0,0.705,0.29500000000000004
14.0,16357.0,4.0,61.0,61.0,0.938,0.938,0.0,0.938,0.062000000000000055
14.0,13031.0,4.0,70.0,59.0,0.246,0.676,0.676,0.922,0.07799999999999996
14.0,12913.0,4.0,61.0,61.0,0.733,0.733,0.0,0.733,0.267
14.0,15503.0,4.0,60.0,60.0,0.844,0.844,0.0,0.844,0.15600000000000003
14.0,10393.0,4.0,42.0,42.0,0.972,0.972,0.0,0.972,0.028000000000000025
14.0,15685.0,4.0,57.0,57.0,0.423,0.423,0.0,0.423,0.577
14.0,9937.0,4.0,70.0,70.0,0.296,0.296,0.0,0.296,0.704
14.0,11147.0,4.0,54.0,54.0,0.54,0.54,0.0,0.54,0.45999999999999996
14.0,16297.0,4.0,62.0,62.0,0.792,0.792,0.0,0.792,0.20799999999999996
14.0,15403.0,4.0,35.0,35.0,0.704,0.704,0.0,0.704,0.29600000000000004
14.0,11755.0,4.0,48.0,48.0,0.939,0.939,0.0,0.939,0.061000000000000054
14.0,12127.0,4.0,49.0,49.0,0.52,0.52,0.0,0.52,0.48
14.0,12851.0,4.0,55.0,55.0,0.42,0.42,0.0,0.42,0.5800000000000001
14.0,16199.0,4.0,78.0,74.0,0.078,0.44,0.637,0.715,0.28500000000000003
15.0,29471.0,4.0,49.0,49.0,0.741,0.741,0.0,0.741,0.259
15.0,24901.0,4.0,54.0,54.0,0.65,0.65,0.0,0.65,0.35
15.0,24467.0,4.0,56.0,56.0,0.882,0.882,0.0,0.882,0.118
15.0,26933.0,4.0,63.0,63.0,0.287,0.287,0.0,0.287,0.7130000000000001
15.0,23573.0,4.0,26.0,26.0,0.945,0.945,0.0,0.945,0.05500000000000005
15.0,25729.0,4.0,29.0,29.0,0.893,0.893,0.0,0.893,0.10699999999999998
15.0,31571.0,4.0,57.0,57.0,0.734,0.734,0.0,0.734,0.266
15.0,29459.0,4.0,42.0,42.0,0.907,0.907,0.0,0.907,0.09299999999999997
15.0,31631.0,4.0,58.0,58.0,0.784,0.784,0.0,0.784,0.21599999999999997
15.0,28973.0,4.0,61.0,61.0,0.595,0.595,0.0,0.595,0.405
15.0,25507.0,4.0,48.0,48.0,0.865,0.865,0.0,0.865,0.135
15.0,23195.0,4.0,27.0,27.0,0.805,0.805,0.0,0.805,0.19499999999999995
15.0,29417.0,4.0,43.0,43.0,0.955,0.955,0.0,0.955,0.04500000000000004
15.0,24467.0,4.0,44.0,44.0,0.776,0.776,0.0,0.776,0.22399999999999998
15.0,32729.0,4.0,69.0,69.0,0.687,0.687,0.0,0.687,0.31299999999999994
15.0,27287.0,4.0,56.0,56.0,0.897,0.897,0.0,0.897,0.10299999999999998
15.0,32699.0,4.0,38.0,38.0,0.681,0.681,0.0,0.681,0.31899999999999995
15.0,25871.0,4.0,80.0,62.0,0.194,0.561,0.561,0.7550000000000001,0.24499999999999988
15.0,31789.0,4.0,41.0,41.0,0.853,0.853,0.0,0.853,0.14700000000000002
15.0,20957.0,4.0,27.0,27.0,0.84,0.84,0.0,0.84,0.16000000000000003
16.0,54097.0,4.0,29.0,29.0,0.915,0.915,0.0,0.915,0.08499999999999996
16.0,62803.0,4.0,42.0,42.0,0.784,0.784,0.0,0.784,0.21599999999999997
16.0,43243.0,4.0,58.0,58.0,0.807,0.807,0.0,0.807,0.19299999999999995
16.0,58589.0,4.0,49.0,49.0,0.749,0.749,0.0,0.749,0.251
16.0,49883.0,4.0,37.0,37.0,0.948,0.948,0.0,0.948,0.052000000000000046
16.0,64751.0,4.0,99.0,73.0,0.084,0.481,0.683,0.767,0.23299999999999998
16.0,53059.0,4.0,66.0,63.0,0.171,0.482,0.482,0.653,0.347
16.0,39691.0,4.0,29.0,29.0,0.97,0.97,0.0,0.97,0.030000000000000027
16.0,61111.0,4.0,37.0,37.0,0.885,0.885,0.0,0.885,0.11499999999999999
16.0,44003.0,4.0,44.0,44.0,0.852,0.852,0.0,0.852,0.14800000000000002
16.0,44243.0,4.0,49.0,49.0,0.893,0.893,0.0,0.893,0.10699999999999998
16.0,52987.0,4.0,61.0,54.0,0.21,0.757,0.757,0.967,0.03300000000000003
16.0,53063.0,4.0,88.0,69.0,0.133,0.596,0.6639999999999999,0.7969999999999999,0.20300000000000007
16.0,57473.0,4.0,58.0,58.0,0.933,0.933,0.0,0.933,0.06699999999999995
16.0,56257.0,4.0,78.0,78.0,0.369,0.369,0.0,0.369,0.631
16.0,61021.0,4.0,63.0,63.0,0.691,0.691,0.0,0.691,0.30900000000000005
16.0,49571.0,4.0,44.0,44.0,0.874,0.874,0.0,0.874,0.126
16.0,54077.0,4.0,65.0,65.0,0.596,0.596,0.0,0.596,0.404
16.0,55019.0,4.0,60.0,60.0,0.712,0.712,0.0,0.712,0.28800000000000003
16.0,46519.0,4.0,65.0,65.0,0.887,0.887,0.0,0.887,0.11299999999999999
17.0,128507.0,4.0,46.0,46.0,0.946,0.946,0.0,0.946,0.05400000000000005
17.0,102127.0,4.0,46.0,46.0,0.437,0.437,0.0,0.437,0.563
17.0,102959.0,4.0,43.0,43.0,0.974,0.974,0.0,0.974,0.026000000000000023
17.0,120007.0,4.0,36.0,36.0,0.972,0.972,0.0,0.972,0.028000000000000025
17.0,118651.0,4.0,91.0,85.0,0.387,0.412,0.412,0.7989999999999999,0.20100000000000007
17.0,122441.0,4.0,71.0,71.0,0.734,0.734,0.0,0.734,0.266
17.0,117527.0,4.0,49.0,49.0,0.184,0.184,0.0,0.184,0.8160000000000001
17.0,101509.0,4.0,45.0,45.0,0.704,0.704,0.0,0.704,0.29600000000000004
17.0,110671.0,4.0,64.0,64.0,0.806,0.806,0.0,0.806,0.19399999999999995
17.0,103777.0,4.0,66.0,66.0,0.893,0.893,0.0,0.893,0.10699999999999998
17.0,129851.0,4.0,29.0,29.0,0.97,0.97,0.0,0.97,0.030000000000000027
17.0,129091.0,4.0,38.0,38.0,0.976,0.976,0.0,0.976,0.02400000000000002
17.0,92497.0,4.0,54.0,54.0,0.836,0.836,0.0,0.836,0.16400000000000003
17.0,107771.0,4.0,90.0,71.0,0.08,0.759,0.759,0.839,0.16100000000000003
17.0,112109.0,4.0,49.0,49.0,0.876,0.876,0.0,0.876,0.124
17.0,104591.0,4.0,37.0,37.0,0.921,0.921,0.0,0.921,0.07899999999999996
17.0,116519.0,4.0,69.0,69.0,0.643,0.643,0.0,0.643,0.357
17.0,91349.0,4.0,54.0,54.0,0.669,0.669,0.0,0.669,0.33099999999999996
17.0,108611.0,4.0,97.0,74.0,0.257,0.591,0.591,0.848,0.15200000000000002
