Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,65.0,65.0,0.9599,0.9599,0.0,0.9599,0.040100000000000025
8.0,221.0,3.0,50.0,50.0,0.7835,0.7835,0.0,0.7835,0.21650000000000003
8.0,221.0,3.0,50.0,50.0,0.7823,0.7823,0.0,0.7823,0.2177
8.0,253.0,3.0,81.0,81.0,0.9028,0.9028,0.0,0.9028,0.09719999999999995
8.0,201.0,3.0,76.0,76.0,0.7241,0.7241,0.0,0.7241,0.27590000000000003
8.0,209.0,3.0,45.0,45.0,0.947,0.947,0.0,0.947,0.05300000000000005
8.0,187.0,3.0,18.0,18.0,0.9031,0.9031,0.0,0.9031,0.09689999999999999
8.0,187.0,3.0,18.0,18.0,0.9096,0.9096,0.0,0.9096,0.09040000000000004
8.0,205.0,3.0,105.0,105.0,0.6364,0.6364,0.0,0.6364,0.36360000000000003
8.0,215.0,3.0,70.0,70.0,0.7423,0.7423,0.0,0.7423,0.25770000000000004
9.0,473.0,2.0,513.0,513.0,0.69,0.69,0.0,0.69,0.31000000000000005
9.0,473.0,2.0,513.0,513.0,0.6863,0.6863,0.0,0.6863,0.3137
9.0,437.0,2.0,146.0,146.0,0.8905,0.8905,0.0,0.8905,0.10950000000000004
9.0,355.0,2.0,424.0,424.0,0.9075,0.9075,0.0,0.9075,0.09250000000000003
9.0,407.0,2.0,201.0,201.0,0.5991,0.5991,0.0,0.5991,0.40090000000000003
9.0,355.0,2.0,424.0,424.0,0.9096,0.9096,0.0,0.9096,0.09040000000000004
9.0,415.0,2.0,144.0,144.0,0.9329,0.9329,0.0,0.9329,0.06710000000000005
9.0,415.0,2.0,144.0,144.0,0.9277,0.9277,0.0,0.9277,0.07230000000000003
9.0,473.0,2.0,513.0,513.0,0.6907,0.6907,0.0,0.6907,0.3093
9.0,481.0,2.0,170.0,170.0,0.8729,0.8729,0.0,0.8729,0.1271
10.0,1003.0,2.0,461.0,461.0,0.9114,0.9114,0.0,0.9114,0.08860000000000001
10.0,869.0,2.0,59.0,59.0,0.9308,0.9308,0.0,0.9308,0.06920000000000004
10.0,905.0,2.0,182.0,182.0,0.9625,0.9625,0.0,0.9625,0.03749999999999998
10.0,917.0,2.0,257.0,257.0,0.4736,0.4736,0.0,0.4736,0.5264
10.0,655.0,2.0,125.0,125.0,0.9471,0.9471,0.0,0.9471,0.05289999999999995
10.0,893.0,2.0,429.0,429.0,0.7086,0.7086,0.0,0.7086,0.2914
10.0,959.0,2.0,254.0,254.0,0.8485,0.8485,0.0,0.8485,0.15149999999999997
10.0,831.0,2.0,173.0,173.0,0.9647,0.9647,0.0,0.9647,0.0353
10.0,755.0,2.0,321.0,321.0,0.9584,0.9584,0.0,0.9584,0.04159999999999997
10.0,781.0,2.0,299.0,299.0,0.6528,0.6528,0.0,0.6528,0.34719999999999995
11.0,1713.0,3.0,140.0,140.0,0.5602,0.5602,0.0,0.5602,0.43979999999999997
11.0,1843.0,3.0,99.0,99.0,0.6586,0.6586,0.0,0.6586,0.34140000000000004
11.0,1865.0,3.0,36.0,36.0,0.945,0.945,0.0,0.945,0.05500000000000005
11.0,1967.0,3.0,126.0,126.0,0.7548,0.7548,0.0,0.7548,0.24519999999999997
11.0,1633.0,3.0,105.0,105.0,0.6238,0.6238,0.0,0.6238,0.3762
11.0,1703.0,3.0,105.0,105.0,0.53,0.53,0.0,0.53,0.47
11.0,1821.0,3.0,50.0,50.0,0.9392,0.9392,0.0,0.9392,0.060799999999999965
11.0,1927.0,3.0,79.0,79.0,0.6435,0.6435,0.0,0.6435,0.35650000000000004
11.0,1507.0,3.0,77.0,77.0,0.8398,0.8398,0.0,0.8398,0.1602
11.0,1441.0,3.0,62.0,62.0,0.4821,0.4821,0.0,0.4821,0.5179
12.0,3901.0,3.0,45.0,45.0,0.8158,0.8158,0.0,0.8158,0.18420000000000003
12.0,3397.0,3.0,94.0,94.0,0.8271,0.8271,0.0,0.8271,0.17290000000000005
12.0,2855.0,3.0,138.0,138.0,0.112,0.112,0.0,0.112,0.888
12.0,2831.0,3.0,82.0,82.0,0.8342,0.8342,0.0,0.8342,0.16579999999999995
12.0,2893.0,3.0,74.0,74.0,0.6714,0.6714,0.0,0.6714,0.3286
12.0,2605.0,3.0,50.0,50.0,0.7962,0.7962,0.0,0.7962,0.20379999999999998
12.0,3047.0,3.0,109.0,109.0,0.5165,0.5165,0.0,0.5165,0.48350000000000004
12.0,3707.0,3.0,116.0,116.0,0.3975,0.3975,0.0,0.3975,0.6025
12.0,2981.0,3.0,47.0,47.0,0.9327,0.9327,0.0,0.9327,0.06730000000000003
12.0,3149.0,3.0,117.0,117.0,0.2008,0.2008,0.0,0.2008,0.7992
13.0,6463.0,3.0,45.0,45.0,0.9632,0.9632,0.0,0.9632,0.036800000000000055
13.0,7729.0,3.0,104.0,104.0,0.9168,0.9168,0.0,0.9168,0.08320000000000005
13.0,7217.0,3.0,54.0,54.0,0.6592,0.6592,0.0,0.6592,0.3408
13.0,7241.0,3.0,94.0,94.0,0.6417,0.6417,0.0,0.6417,0.35829999999999995
13.0,6281.0,3.0,75.0,75.0,0.9201,0.9201,0.0,0.9201,0.07989999999999997
13.0,5755.0,3.0,66.0,66.0,0.4918,0.4918,0.0,0.4918,0.5082
13.0,5165.0,3.0,65.0,65.0,0.7317,0.7317,0.0,0.7317,0.2683
13.0,5699.0,3.0,89.0,89.0,0.8832,0.8832,0.0,0.8832,0.11680000000000001
13.0,7355.0,3.0,106.0,106.0,0.4662,0.4662,0.0,0.4662,0.5338
13.0,4883.0,3.0,74.0,74.0,0.6783,0.6783,0.0,0.6783,0.3217
14.0,13403.0,4.0,54.0,54.0,0.5309,0.5309,0.0,0.5309,0.46909999999999996
14.0,15577.0,4.0,36.0,36.0,0.6322,0.6322,0.0,0.6322,0.3678
14.0,13439.0,4.0,50.0,50.0,0.3047,0.3047,0.0,0.3047,0.6953
14.0,15163.0,4.0,42.0,42.0,0.6311,0.6311,0.0,0.6311,0.3689
14.0,13849.0,4.0,70.0,70.0,0.2443,0.2443,0.0,0.2443,0.7557
14.0,14257.0,4.0,50.0,50.0,0.4274,0.4274,0.0,0.4274,0.5726
14.0,15409.0,4.0,33.0,33.0,0.8053,0.8053,0.0,0.8053,0.19469999999999998
14.0,13271.0,4.0,60.0,58.0,0.7891,0.132,0.132,0.9211,0.07889999999999997
14.0,12361.0,4.0,29.0,29.0,0.9117,0.9117,0.0,0.9117,0.08830000000000005
14.0,13057.0,4.0,37.0,37.0,0.4929,0.4929,0.0,0.4929,0.5071
15.0,23713.0,4.0,78.0,65.0,0.396,0.3765,0.3765,0.7725,0.22750000000000004
15.0,30361.0,4.0,49.0,49.0,0.7461,0.7461,0.0,0.7461,0.2539
15.0,30901.0,4.0,31.0,31.0,0.6749,0.6749,0.0,0.6749,0.32509999999999994
15.0,30749.0,4.0,37.0,37.0,0.5196,0.5196,0.0,0.5196,0.48040000000000005
15.0,23389.0,4.0,41.0,41.0,0.8229,0.8229,0.0,0.8229,0.17710000000000004
15.0,24991.0,4.0,88.0,65.0,0.0139,0.1832,0.6159,0.6298,0.3702
15.0,30365.0,4.0,81.0,79.0,0.2056,0.0585,0.0585,0.2641,0.7359
15.0,32659.0,4.0,57.0,57.0,0.4819,0.4819,0.0,0.4819,0.5181
15.0,24887.0,4.0,56.0,56.0,0.4639,0.4639,0.0,0.4639,0.5361
15.0,27859.0,4.0,53.0,53.0,0.3986,0.3986,0.0,0.3986,0.6013999999999999
16.0,41857.0,4.0,61.0,61.0,0.7859,0.7859,0.0,0.7859,0.21409999999999996
16.0,64259.0,4.0,50.0,50.0,0.8989,0.8989,0.0,0.8989,0.10109999999999997
16.0,58159.0,4.0,81.0,66.0,0.1145,0.2256,0.2256,0.3401,0.6598999999999999
16.0,55613.0,4.0,75.0,75.0,0.5242,0.5242,0.0,0.5242,0.4758
16.0,60349.0,4.0,85.0,78.0,0.4549,0.117,0.15200000000000002,0.6069,0.3931
16.0,63461.0,4.0,66.0,66.0,0.3789,0.3789,0.0,0.3789,0.6211
16.0,57857.0,4.0,66.0,66.0,0.238,0.238,0.0,0.238,0.762
