Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
150,1268771206145175299492684899681878877410684841,21,728,728,0.022651,0.022651,0.0,0.022651,0.977349
150,1403762530472620237905076428332939916844331359,21,310,297,0.037023,0.035251,0.060409,0.09743199999999999,0.902568
150,918882917500502786903408324526441238854631741,21,407,397,0.023485,0.013639,0.013639,0.037124,0.962876
150,1044411862674117053622929515451672202864979129,21,397,397,0.028581,0.028581,0.0,0.028581,0.971419
150,1199592981228806239321120961178599459097610483,21,601,601,0.004699,0.004699,0.0,0.004699,0.995301
150,912632394066698132144971044037258218777602291,21,384,384,0.052742,0.052742,0.0,0.052742,0.947258
150,1033085278351720441874660444922199074374033881,21,454,454,0.007247,0.007247,0.0,0.007247,0.992753
150,1039667922595230805682141254323399644574814367,21,704,702,0.044143,0.147538,0.147538,0.191681,0.808319
150,1076261801716221769627743498540654753005411033,21,605,584,0.012644,0.013611,0.13694599999999998,0.14958999999999997,0.85041
150,868981675879730421007669707059890716656754209,21,391,391,0.026844,0.026844,0.0,0.026844,0.973156
150,1198940008513470371886998720870433706529677289,21,318,309,0.020975,0.027164,0.140992,0.161967,0.838033
150,1001065868810988745766471076060380006588792189,21,391,391,0.020723,0.020723,0.0,0.020723,0.979277
150,1018523197675518130041140861676478171959383813,21,315,315,0.092847,0.092847,0.0,0.092847,0.907153
150,999406335763551690568793874408994581594369181,21,305,305,0.153457,0.153457,0.0,0.153457,0.846543
150,1386649915270975663546803936212330370020386207,21,333,333,0.021178,0.021178,0.0,0.021178,0.978822
150,1252835724482748605844023934169349660374906087,21,379,379,0.049016,0.049016,0.0,0.049016,0.950984
150,1420753685420564064872708676390123998125705549,21,349,349,0.063481,0.063481,0.0,0.063481,0.936519
150,1076920912535396901213842625717381087368331181,21,417,417,0.017121,0.017121,0.0,0.017121,0.982879
150,1124397583306701037985991208303905429810161357,21,352,352,0.029415,0.029415,0.0,0.029415,0.970585
