Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.143,0.143,0.0,0.143,0.857
8.0,221.0,3.0,50.0,50.0,0.443,0.443,0.0,0.443,0.5569999999999999
8.0,221.0,3.0,65.0,65.0,0.272,0.272,0.0,0.272,0.728
8.0,253.0,3.0,81.0,81.0,0.691,0.691,0.0,0.691,0.30900000000000005
8.0,201.0,3.0,61.0,61.0,0.541,0.541,0.0,0.541,0.45899999999999996
8.0,209.0,3.0,90.0,90.0,0.51,0.51,0.0,0.51,0.49
8.0,187.0,3.0,42.0,42.0,0.371,0.371,0.0,0.371,0.629
8.0,187.0,3.0,18.0,18.0,0.663,0.663,0.0,0.663,0.33699999999999997
8.0,205.0,3.0,108.0,105.0,0.336,0.251,0.251,0.587,0.41300000000000003
8.0,215.0,3.0,70.0,70.0,0.396,0.396,0.0,0.396,0.604
9.0,473.0,3.0,122.0,122.0,0.373,0.373,0.0,0.373,0.627
9.0,473.0,3.0,122.0,122.0,0.376,0.376,0.0,0.376,0.624
9.0,437.0,3.0,102.0,102.0,0.393,0.393,0.0,0.393,0.607
9.0,355.0,3.0,70.0,70.0,0.598,0.598,0.0,0.598,0.402
9.0,407.0,3.0,33.0,33.0,0.581,0.581,0.0,0.581,0.41900000000000004
9.0,355.0,3.0,70.0,70.0,0.562,0.562,0.0,0.562,0.43799999999999994
9.0,415.0,3.0,70.0,70.0,0.266,0.266,0.0,0.266,0.734
9.0,415.0,3.0,70.0,70.0,0.261,0.261,0.0,0.261,0.739
9.0,473.0,3.0,107.0,107.0,0.177,0.177,0.0,0.177,0.823
9.0,481.0,3.0,73.0,73.0,0.256,0.256,0.0,0.256,0.744
10.0,1003.0,3.0,70.0,70.0,0.578,0.578,0.0,0.578,0.42200000000000004
10.0,869.0,3.0,59.0,59.0,0.445,0.445,0.0,0.445,0.5549999999999999
10.0,905.0,3.0,60.0,60.0,0.6,0.6,0.0,0.6,0.4
10.0,917.0,3.0,106.0,106.0,0.255,0.255,0.0,0.255,0.745
10.0,655.0,3.0,125.0,94.0,0.14,0.223,0.223,0.363,0.637
10.0,893.0,3.0,73.0,73.0,0.666,0.666,0.0,0.666,0.33399999999999996
10.0,959.0,3.0,41.0,41.0,0.471,0.471,0.0,0.471,0.529
10.0,831.0,3.0,33.0,33.0,0.72,0.72,0.0,0.72,0.28
10.0,755.0,3.0,78.0,78.0,0.663,0.663,0.0,0.663,0.33699999999999997
10.0,781.0,3.0,45.0,45.0,0.467,0.467,0.0,0.467,0.5329999999999999
11.0,1713.0,3.0,140.0,140.0,0.368,0.368,0.0,0.368,0.632
11.0,1843.0,3.0,78.0,78.0,0.474,0.474,0.0,0.474,0.526
11.0,1865.0,3.0,81.0,81.0,0.298,0.298,0.0,0.298,0.702
11.0,1967.0,3.0,134.0,111.0,0.138,0.197,0.197,0.335,0.665
11.0,1633.0,3.0,82.0,82.0,0.651,0.651,0.0,0.651,0.349
11.0,1703.0,3.0,105.0,105.0,0.408,0.408,0.0,0.408,0.5920000000000001
11.0,1821.0,3.0,50.0,50.0,0.663,0.663,0.0,0.663,0.33699999999999997
11.0,1927.0,3.0,79.0,79.0,0.384,0.384,0.0,0.384,0.616
11.0,1507.0,3.0,53.0,53.0,0.629,0.629,0.0,0.629,0.371
11.0,1441.0,3.0,43.0,43.0,0.448,0.448,0.0,0.448,0.552
12.0,3901.0,3.0,41.0,41.0,0.466,0.466,0.0,0.466,0.534
12.0,3397.0,3.0,67.0,67.0,0.639,0.639,0.0,0.639,0.361
12.0,2855.0,3.0,98.0,98.0,0.339,0.339,0.0,0.339,0.661
12.0,2831.0,3.0,82.0,82.0,0.657,0.657,0.0,0.657,0.34299999999999997
12.0,2893.0,3.0,78.0,78.0,0.395,0.395,0.0,0.395,0.605
12.0,2605.0,3.0,50.0,50.0,0.613,0.613,0.0,0.613,0.387
12.0,3047.0,3.0,37.0,37.0,0.636,0.636,0.0,0.636,0.364
12.0,3707.0,3.0,116.0,116.0,0.153,0.153,0.0,0.153,0.847
12.0,2981.0,3.0,71.0,71.0,0.52,0.52,0.0,0.52,0.48
12.0,3149.0,3.0,117.0,117.0,0.23,0.23,0.0,0.23,0.77
13.0,6463.0,3.0,82.0,82.0,0.526,0.526,0.0,0.526,0.474
13.0,7729.0,3.0,104.0,104.0,0.626,0.626,0.0,0.626,0.374
13.0,7217.0,3.0,54.0,54.0,0.464,0.464,0.0,0.464,0.536
13.0,7241.0,3.0,113.0,105.0,0.228,0.374,0.374,0.602,0.398
13.0,6281.0,3.0,75.0,75.0,0.797,0.797,0.0,0.797,0.20299999999999996
13.0,5755.0,3.0,66.0,66.0,0.334,0.334,0.0,0.334,0.6659999999999999
13.0,5165.0,3.0,65.0,65.0,0.454,0.454,0.0,0.454,0.546
13.0,5699.0,3.0,170.0,166.0,0.237,0.521,0.521,0.758,0.242
13.0,7355.0,3.0,90.0,90.0,0.556,0.556,0.0,0.556,0.44399999999999995
13.0,4883.0,3.0,58.0,58.0,0.593,0.593,0.0,0.593,0.40700000000000003
14.0,13403.0,4.0,62.0,62.0,0.073,0.073,0.0,0.073,0.927
14.0,15577.0,4.0,36.0,36.0,0.233,0.233,0.0,0.233,0.767
14.0,13439.0,4.0,59.0,59.0,0.112,0.112,0.0,0.112,0.888
14.0,15163.0,4.0,42.0,42.0,0.407,0.407,0.0,0.407,0.593
14.0,13849.0,4.0,70.0,70.0,0.132,0.132,0.0,0.132,0.868
14.0,14257.0,4.0,61.0,61.0,0.274,0.274,0.0,0.274,0.726
14.0,15409.0,4.0,45.0,45.0,0.205,0.205,0.0,0.205,0.795
14.0,13271.0,4.0,34.0,34.0,0.446,0.446,0.0,0.446,0.554
14.0,12361.0,4.0,41.0,41.0,0.322,0.322,0.0,0.322,0.6779999999999999
14.0,13057.0,4.0,37.0,37.0,0.286,0.286,0.0,0.286,0.714
15.0,23713.0,4.0,69.0,65.0,0.42,0.156,0.156,0.576,0.42400000000000004
15.0,30361.0,4.0,37.0,37.0,0.449,0.449,0.0,0.449,0.5509999999999999
15.0,30901.0,4.0,55.0,55.0,0.414,0.414,0.0,0.414,0.5860000000000001
15.0,30749.0,4.0,37.0,37.0,0.277,0.277,0.0,0.277,0.723
15.0,23389.0,4.0,58.0,58.0,0.58,0.58,0.0,0.58,0.42000000000000004
15.0,24991.0,4.0,60.0,60.0,0.312,0.312,0.0,0.312,0.688
15.0,30365.0,4.0,49.0,49.0,0.277,0.277,0.0,0.277,0.723
15.0,32659.0,4.0,57.0,57.0,0.338,0.338,0.0,0.338,0.6619999999999999
15.0,24887.0,4.0,56.0,56.0,0.214,0.214,0.0,0.214,0.786
15.0,27859.0,4.0,85.0,53.0,0.343,0.147,0.304,0.647,0.353
16.0,41857.0,4.0,87.0,69.0,0.168,0.144,0.244,0.41200000000000003,0.588
16.0,64259.0,4.0,74.0,74.0,0.167,0.167,0.0,0.167,0.833
16.0,58159.0,4.0,72.0,72.0,0.169,0.169,0.0,0.169,0.831
16.0,55613.0,4.0,57.0,57.0,0.258,0.258,0.0,0.258,0.742
16.0,60349.0,4.0,57.0,57.0,0.208,0.208,0.0,0.208,0.792
16.0,63461.0,4.0,73.0,73.0,0.576,0.576,0.0,0.576,0.42400000000000004
16.0,57857.0,4.0,66.0,66.0,0.198,0.198,0.0,0.198,0.802
16.0,43489.0,4.0,46.0,46.0,0.566,0.566,0.0,0.566,0.43400000000000005
16.0,39257.0,4.0,40.0,40.0,0.308,0.308,0.0,0.308,0.692
16.0,62261.0,4.0,53.0,53.0,0.236,0.236,0.0,0.236,0.764
17.0,115519.0,4.0,86.0,86.0,0.292,0.292,0.0,0.292,0.708
17.0,128839.0,4.0,26.0,26.0,0.321,0.321,0.0,0.321,0.679
17.0,125323.0,4.0,49.0,49.0,0.363,0.363,0.0,0.363,0.637
