Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,110.0,110.0,0.858,0.858,0.0,0.858,0.14200000000000002
8.0,221.0,3.0,434.0,434.0,0.532,0.532,0.0,0.532,0.46799999999999997
8.0,221.0,3.0,434.0,434.0,0.514,0.514,0.0,0.514,0.486
8.0,253.0,3.0,81.0,81.0,0.576,0.576,0.0,0.576,0.42400000000000004
8.0,201.0,3.0,306.0,306.0,0.716,0.716,0.0,0.716,0.28400000000000003
8.0,209.0,3.0,505.0,505.0,0.699,0.699,0.0,0.699,0.30100000000000005
8.0,187.0,3.0,477.0,477.0,0.822,0.822,0.0,0.822,0.17800000000000005
8.0,187.0,3.0,625.0,625.0,0.645,0.645,0.0,0.645,0.355
8.0,205.0,3.0,173.0,173.0,0.862,0.862,0.0,0.862,0.138
8.0,215.0,3.0,433.0,433.0,0.362,0.362,0.0,0.362,0.638
9.0,473.0,3.0,305.0,305.0,0.442,0.442,0.0,0.442,0.558
9.0,473.0,3.0,445.0,445.0,0.828,0.828,0.0,0.828,0.17200000000000004
9.0,437.0,3.0,278.0,278.0,0.539,0.539,0.0,0.539,0.46099999999999997
9.0,355.0,3.0,213.0,213.0,0.842,0.842,0.0,0.842,0.15800000000000003
9.0,407.0,3.0,237.0,237.0,0.806,0.806,0.0,0.806,0.19399999999999995
9.0,355.0,3.0,213.0,213.0,0.613,0.613,0.0,0.613,0.387
9.0,415.0,3.0,316.0,316.0,0.494,0.494,0.0,0.494,0.506
9.0,415.0,3.0,181.0,181.0,0.483,0.483,0.0,0.483,0.517
9.0,473.0,3.0,445.0,445.0,0.841,0.841,0.0,0.841,0.15900000000000003
9.0,481.0,3.0,477.0,477.0,0.659,0.659,0.0,0.659,0.34099999999999997
10.0,1003.0,3.0,415.0,415.0,0.74,0.74,0.0,0.74,0.26
10.0,869.0,3.0,197.0,197.0,0.795,0.795,0.0,0.795,0.20499999999999996
10.0,905.0,3.0,218.0,218.0,0.678,0.678,0.0,0.678,0.32199999999999995
10.0,917.0,3.0,486.0,486.0,0.189,0.189,0.0,0.189,0.8109999999999999
10.0,655.0,3.0,200.0,200.0,0.63,0.63,0.0,0.63,0.37
10.0,893.0,3.0,281.0,281.0,0.895,0.895,0.0,0.895,0.10499999999999998
