Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,365.0,3.0,233.0,233.0,0.783,0.783,0.0,0.783,0.21699999999999997
9.0,489.0,3.0,506.0,361.0,0.224,0.641,0.641,0.865,0.135
9.0,365.0,3.0,233.0,233.0,0.756,0.756,0.0,0.756,0.244
9.0,485.0,3.0,302.0,302.0,0.9,0.9,0.0,0.9,0.09999999999999998
9.0,395.0,3.0,290.0,290.0,0.8,0.8,0.0,0.8,0.19999999999999996
9.0,365.0,3.0,233.0,233.0,0.787,0.787,0.0,0.787,0.21299999999999997
9.0,411.0,3.0,231.0,231.0,0.985,0.985,0.0,0.985,0.015000000000000013
9.0,335.0,3.0,581.0,385.0,0.077,0.913,0.913,0.99,0.010000000000000009
9.0,489.0,3.0,394.0,394.0,0.911,0.911,0.0,0.911,0.08899999999999997
9.0,451.0,3.0,381.0,381.0,0.868,0.868,0.0,0.868,0.132
9.0,415.0,3.0,316.0,316.0,0.647,0.647,0.0,0.647,0.353
9.0,451.0,3.0,381.0,381.0,0.876,0.876,0.0,0.876,0.124
9.0,407.0,3.0,198.0,198.0,0.638,0.638,0.0,0.638,0.362
9.0,497.0,3.0,273.0,273.0,0.735,0.735,0.0,0.735,0.265
9.0,505.0,3.0,238.0,238.0,0.949,0.949,0.0,0.949,0.051000000000000045
9.0,505.0,3.0,238.0,238.0,0.943,0.943,0.0,0.943,0.05700000000000005
9.0,505.0,3.0,238.0,238.0,0.951,0.951,0.0,0.951,0.049000000000000044
9.0,451.0,3.0,619.0,588.0,0.621,0.302,0.302,0.923,0.07699999999999996
9.0,451.0,3.0,597.0,597.0,0.594,0.594,0.0,0.594,0.406
9.0,473.0,3.0,305.0,305.0,0.6,0.6,0.0,0.6,0.4
9.0,481.0,3.0,534.0,534.0,0.824,0.824,0.0,0.824,0.17600000000000005
9.0,471.0,3.0,437.0,437.0,0.758,0.758,0.0,0.758,0.242
9.0,493.0,3.0,285.0,285.0,0.607,0.607,0.0,0.607,0.393
9.0,453.0,3.0,282.0,282.0,0.805,0.805,0.0,0.805,0.19499999999999995
9.0,473.0,3.0,305.0,305.0,0.58,0.58,0.0,0.58,0.42000000000000004
9.0,417.0,3.0,121.0,121.0,0.906,0.906,0.0,0.906,0.09399999999999997
9.0,391.0,3.0,161.0,161.0,0.844,0.844,0.0,0.844,0.15600000000000003
9.0,453.0,3.0,445.0,445.0,0.52,0.52,0.0,0.52,0.48
9.0,473.0,3.0,305.0,305.0,0.616,0.616,0.0,0.616,0.384
9.0,481.0,3.0,477.0,477.0,0.876,0.876,0.0,0.876,0.124
9.0,473.0,3.0,305.0,305.0,0.615,0.615,0.0,0.615,0.385
9.0,407.0,3.0,198.0,198.0,0.644,0.644,0.0,0.644,0.356
9.0,469.0,3.0,105.0,105.0,0.949,0.949,0.0,0.949,0.051000000000000045
9.0,411.0,3.0,231.0,231.0,0.894,0.894,0.0,0.894,0.10599999999999998
9.0,447.0,3.0,303.0,303.0,0.877,0.877,0.0,0.877,0.123
10.0,959.0,3.0,195.0,195.0,0.977,0.977,0.0,0.977,0.02300000000000002
10.0,895.0,3.0,312.0,312.0,0.651,0.651,0.0,0.651,0.349
10.0,995.0,3.0,190.0,190.0,0.969,0.969,0.0,0.969,0.031000000000000028
10.0,923.0,3.0,140.0,140.0,0.933,0.933,0.0,0.933,0.06699999999999995
10.0,871.0,3.0,414.0,414.0,0.414,0.414,0.0,0.414,0.5860000000000001
10.0,913.0,3.0,425.0,425.0,0.794,0.794,0.0,0.794,0.20599999999999996
10.0,817.0,3.0,403.0,403.0,0.655,0.655,0.0,0.655,0.345
10.0,895.0,3.0,213.0,213.0,0.939,0.939,0.0,0.939,0.061000000000000054
10.0,901.0,3.0,193.0,193.0,0.959,0.959,0.0,0.959,0.041000000000000036
10.0,913.0,3.0,425.0,425.0,0.793,0.793,0.0,0.793,0.20699999999999996
10.0,745.0,3.0,393.0,393.0,0.428,0.428,0.0,0.428,0.5720000000000001
10.0,913.0,3.0,425.0,414.0,0.622,0.352,0.352,0.974,0.026000000000000023
10.0,785.0,3.0,406.0,406.0,0.949,0.949,0.0,0.949,0.051000000000000045
10.0,803.0,3.0,214.0,214.0,0.94,0.94,0.0,0.94,0.06000000000000005
10.0,731.0,3.0,311.0,311.0,0.88,0.88,0.0,0.88,0.12
10.0,923.0,3.0,248.0,248.0,0.98,0.98,0.0,0.98,0.020000000000000018
10.0,781.0,3.0,108.0,108.0,0.689,0.689,0.0,0.689,0.31100000000000005
10.0,835.0,3.0,517.0,517.0,0.774,0.774,0.0,0.774,0.22599999999999998
10.0,949.0,3.0,143.0,143.0,0.862,0.862,0.0,0.862,0.138
10.0,755.0,3.0,414.0,414.0,0.571,0.571,0.0,0.571,0.42900000000000005
10.0,737.0,3.0,142.0,142.0,0.957,0.957,0.0,0.957,0.04300000000000004
10.0,985.0,3.0,393.0,393.0,0.962,0.962,0.0,0.962,0.038000000000000034
