Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,407.0,3.0,198.0,198.0,0.362,0.362,0.0,0.362,0.638
9.0,511.0,3.0,450.0,450.0,0.489,0.489,0.0,0.489,0.511
9.0,451.0,3.0,597.0,597.0,0.399,0.399,0.0,0.399,0.601
9.0,469.0,3.0,105.0,105.0,0.69,0.69,0.0,0.69,0.31000000000000005
9.0,437.0,3.0,131.0,131.0,0.611,0.611,0.0,0.611,0.389
9.0,355.0,3.0,213.0,213.0,0.745,0.745,0.0,0.745,0.255
9.0,355.0,3.0,348.0,348.0,0.784,0.784,0.0,0.784,0.21599999999999997
9.0,501.0,3.0,466.0,466.0,0.498,0.498,0.0,0.498,0.502
9.0,473.0,3.0,278.0,278.0,0.616,0.616,0.0,0.616,0.384
9.0,473.0,3.0,445.0,445.0,0.73,0.73,0.0,0.73,0.27
9.0,493.0,3.0,345.0,345.0,0.711,0.711,0.0,0.711,0.28900000000000003
9.0,415.0,3.0,316.0,316.0,0.411,0.411,0.0,0.411,0.589
9.0,451.0,3.0,619.0,588.0,0.743,0.125,0.125,0.868,0.132
9.0,411.0,3.0,231.0,231.0,0.476,0.476,0.0,0.476,0.524
9.0,355.0,3.0,213.0,213.0,0.743,0.743,0.0,0.743,0.257
9.0,489.0,3.0,286.0,286.0,0.794,0.794,0.0,0.794,0.20599999999999996
9.0,473.0,3.0,278.0,278.0,0.601,0.601,0.0,0.601,0.399
9.0,493.0,3.0,345.0,345.0,0.754,0.754,0.0,0.754,0.246
9.0,453.0,3.0,282.0,282.0,0.365,0.365,0.0,0.365,0.635
9.0,365.0,3.0,233.0,233.0,0.434,0.434,0.0,0.434,0.5660000000000001
10.0,1007.0,3.0,401.0,401.0,0.383,0.383,0.0,0.383,0.617
10.0,815.0,3.0,303.0,303.0,0.663,0.663,0.0,0.663,0.33699999999999997
10.0,893.0,3.0,281.0,281.0,0.741,0.741,0.0,0.741,0.259
10.0,655.0,3.0,212.0,212.0,0.781,0.781,0.0,0.781,0.21899999999999997
10.0,755.0,3.0,273.0,273.0,0.446,0.446,0.0,0.446,0.554
10.0,737.0,3.0,421.0,421.0,0.278,0.278,0.0,0.278,0.722
10.0,933.0,3.0,78.0,78.0,0.377,0.377,0.0,0.377,0.623
10.0,895.0,3.0,312.0,312.0,0.399,0.399,0.0,0.399,0.601
10.0,655.0,3.0,200.0,200.0,0.47,0.47,0.0,0.47,0.53
10.0,943.0,3.0,289.0,289.0,0.336,0.336,0.0,0.336,0.6639999999999999
10.0,703.0,3.0,42.0,42.0,0.721,0.721,0.0,0.721,0.279
10.0,815.0,3.0,466.0,375.0,0.258,0.31,0.31,0.5680000000000001,0.43199999999999994
10.0,835.0,3.0,517.0,517.0,0.402,0.402,0.0,0.402,0.598
10.0,799.0,3.0,110.0,110.0,0.84,0.84,0.0,0.84,0.16000000000000003
10.0,695.0,3.0,142.0,142.0,0.635,0.635,0.0,0.635,0.365
10.0,895.0,3.0,357.0,357.0,0.405,0.405,0.0,0.405,0.595
10.0,785.0,3.0,406.0,406.0,0.874,0.874,0.0,0.874,0.126
10.0,703.0,3.0,42.0,42.0,0.733,0.733,0.0,0.733,0.267
10.0,731.0,3.0,407.0,407.0,0.828,0.828,0.0,0.828,0.17200000000000004
10.0,905.0,3.0,362.0,362.0,0.46,0.46,0.0,0.46,0.54
11.0,2019.0,3.0,585.0,585.0,0.069,0.069,0.0,0.069,0.931
11.0,1909.0,3.0,341.0,341.0,0.697,0.697,0.0,0.697,0.30300000000000005
11.0,1415.0,3.0,355.0,355.0,0.442,0.442,0.0,0.442,0.558
11.0,1315.0,3.0,251.0,251.0,0.608,0.608,0.0,0.608,0.392
11.0,1565.0,3.0,315.0,315.0,0.763,0.763,0.0,0.763,0.237
