Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.149,0.149,0.0,0.149,0.851
8.0,221.0,3.0,50.0,50.0,0.629,0.629,0.0,0.629,0.371
8.0,221.0,3.0,65.0,65.0,0.355,0.355,0.0,0.355,0.645
8.0,253.0,3.0,81.0,81.0,0.931,0.931,0.0,0.931,0.06899999999999995
8.0,201.0,3.0,61.0,61.0,0.739,0.739,0.0,0.739,0.261
8.0,209.0,3.0,42.0,42.0,0.665,0.665,0.0,0.665,0.33499999999999996
8.0,187.0,3.0,18.0,18.0,0.747,0.747,0.0,0.747,0.253
8.0,187.0,3.0,42.0,42.0,0.509,0.509,0.0,0.509,0.491
8.0,205.0,3.0,105.0,105.0,0.496,0.496,0.0,0.496,0.504
8.0,215.0,3.0,70.0,70.0,0.525,0.525,0.0,0.525,0.475
9.0,473.0,3.0,107.0,107.0,0.247,0.247,0.0,0.247,0.753
9.0,473.0,3.0,122.0,122.0,0.421,0.421,0.0,0.421,0.579
9.0,437.0,3.0,66.0,66.0,0.506,0.506,0.0,0.506,0.494
9.0,355.0,3.0,117.0,117.0,0.422,0.422,0.0,0.422,0.5780000000000001
9.0,407.0,3.0,36.0,36.0,0.943,0.943,0.0,0.943,0.05700000000000005
9.0,355.0,3.0,117.0,117.0,0.372,0.372,0.0,0.372,0.628
9.0,415.0,3.0,25.0,25.0,0.77,0.77,0.0,0.77,0.22999999999999998
9.0,415.0,3.0,25.0,25.0,0.815,0.815,0.0,0.815,0.18500000000000005
9.0,473.0,3.0,125.0,125.0,0.326,0.326,0.0,0.326,0.6739999999999999
9.0,481.0,3.0,73.0,73.0,0.26,0.26,0.0,0.26,0.74
10.0,1003.0,3.0,70.0,70.0,0.74,0.74,0.0,0.74,0.26
10.0,869.0,3.0,69.0,69.0,0.617,0.617,0.0,0.617,0.383
10.0,905.0,3.0,60.0,60.0,0.841,0.841,0.0,0.841,0.15900000000000003
10.0,917.0,3.0,69.0,69.0,0.679,0.679,0.0,0.679,0.32099999999999995
10.0,655.0,3.0,130.0,130.0,0.936,0.936,0.0,0.936,0.06399999999999995
10.0,893.0,3.0,73.0,73.0,0.826,0.826,0.0,0.826,0.17400000000000004
10.0,959.0,3.0,41.0,41.0,0.597,0.597,0.0,0.597,0.403
10.0,831.0,3.0,24.0,24.0,0.838,0.838,0.0,0.838,0.16200000000000003
10.0,755.0,3.0,102.0,99.0,0.69,0.273,0.273,0.963,0.03700000000000003
10.0,781.0,3.0,33.0,33.0,0.746,0.746,0.0,0.746,0.254
11.0,1713.0,3.0,90.0,90.0,0.53,0.53,0.0,0.53,0.47
11.0,1843.0,3.0,78.0,78.0,0.643,0.643,0.0,0.643,0.357
11.0,1865.0,3.0,81.0,81.0,0.336,0.336,0.0,0.336,0.6639999999999999
