Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.214,0.214,0.0,0.214,0.786
8.0,221.0,3.0,65.0,65.0,0.599,0.599,0.0,0.599,0.401
8.0,221.0,3.0,50.0,50.0,0.955,0.955,0.0,0.955,0.04500000000000004
8.0,253.0,3.0,45.0,45.0,0.883,0.883,0.0,0.883,0.11699999999999999
8.0,201.0,3.0,49.0,49.0,0.908,0.908,0.0,0.908,0.09199999999999997
8.0,209.0,3.0,90.0,90.0,0.707,0.707,0.0,0.707,0.29300000000000004
8.0,187.0,3.0,18.0,18.0,0.841,0.841,0.0,0.841,0.15900000000000003
8.0,187.0,3.0,18.0,18.0,0.826,0.826,0.0,0.826,0.17400000000000004
8.0,205.0,3.0,108.0,105.0,0.589,0.23,0.23,0.819,0.18100000000000005
8.0,215.0,3.0,70.0,70.0,0.884,0.884,0.0,0.884,0.11599999999999999
9.0,473.0,3.0,125.0,125.0,0.301,0.301,0.0,0.301,0.6990000000000001
9.0,473.0,3.0,125.0,125.0,0.295,0.295,0.0,0.295,0.7050000000000001
9.0,437.0,3.0,102.0,102.0,0.73,0.73,0.0,0.73,0.27
9.0,355.0,3.0,117.0,117.0,0.306,0.306,0.0,0.306,0.694
9.0,407.0,3.0,36.0,36.0,0.987,0.987,0.0,0.987,0.013000000000000012
9.0,355.0,3.0,70.0,70.0,0.919,0.919,0.0,0.919,0.08099999999999996
9.0,415.0,3.0,25.0,25.0,0.932,0.932,0.0,0.932,0.06799999999999995
9.0,415.0,3.0,25.0,25.0,0.906,0.906,0.0,0.906,0.09399999999999997
9.0,473.0,3.0,125.0,125.0,0.311,0.311,0.0,0.311,0.6890000000000001
9.0,481.0,3.0,39.0,39.0,0.85,0.85,0.0,0.85,0.15000000000000002
10.0,1003.0,3.0,43.0,43.0,0.921,0.921,0.0,0.921,0.07899999999999996
10.0,869.0,3.0,60.0,60.0,0.856,0.856,0.0,0.856,0.14400000000000002
10.0,905.0,3.0,60.0,60.0,0.944,0.944,0.0,0.944,0.05600000000000005
10.0,917.0,3.0,106.0,106.0,0.729,0.729,0.0,0.729,0.271
10.0,655.0,3.0,125.0,94.0,0.33,0.189,0.189,0.519,0.481
10.0,893.0,3.0,73.0,73.0,0.824,0.824,0.0,0.824,0.17600000000000005
10.0,959.0,3.0,41.0,41.0,0.832,0.832,0.0,0.832,0.16800000000000004
10.0,831.0,3.0,24.0,24.0,0.935,0.935,0.0,0.935,0.06499999999999995
10.0,755.0,3.0,78.0,78.0,0.94,0.94,0.0,0.94,0.06000000000000005
10.0,781.0,3.0,45.0,45.0,0.975,0.975,0.0,0.975,0.025000000000000022
11.0,1713.0,3.0,140.0,140.0,0.704,0.704,0.0,0.704,0.29600000000000004
11.0,1843.0,3.0,78.0,78.0,0.898,0.898,0.0,0.898,0.10199999999999998
11.0,1865.0,3.0,81.0,81.0,0.705,0.705,0.0,0.705,0.29500000000000004
11.0,1967.0,3.0,126.0,126.0,0.931,0.931,0.0,0.931,0.06899999999999995
11.0,1633.0,3.0,73.0,73.0,0.808,0.808,0.0,0.808,0.19199999999999995
11.0,1703.0,3.0,105.0,105.0,0.553,0.553,0.0,0.553,0.44699999999999995
11.0,1821.0,3.0,50.0,50.0,0.95,0.95,0.0,0.95,0.050000000000000044
11.0,1927.0,3.0,85.0,85.0,0.559,0.559,0.0,0.559,0.44099999999999995
11.0,1507.0,3.0,53.0,53.0,0.896,0.896,0.0,0.896,0.10399999999999998
11.0,1441.0,3.0,34.0,34.0,0.887,0.887,0.0,0.887,0.11299999999999999
12.0,3901.0,3.0,53.0,53.0,0.891,0.891,0.0,0.891,0.10899999999999999
12.0,3397.0,3.0,67.0,67.0,0.964,0.964,0.0,0.964,0.03600000000000003
12.0,2855.0,3.0,98.0,98.0,0.637,0.637,0.0,0.637,0.363
12.0,2831.0,3.0,73.0,73.0,0.898,0.898,0.0,0.898,0.10199999999999998
12.0,2893.0,3.0,78.0,78.0,0.753,0.753,0.0,0.753,0.247
12.0,2605.0,3.0,50.0,50.0,0.847,0.847,0.0,0.847,0.15300000000000002
12.0,3047.0,3.0,46.0,46.0,0.899,0.899,0.0,0.899,0.10099999999999998
12.0,3707.0,3.0,121.0,121.0,0.943,0.943,0.0,0.943,0.05700000000000005
12.0,2981.0,3.0,71.0,71.0,0.914,0.914,0.0,0.914,0.08599999999999997
12.0,3149.0,3.0,125.0,121.0,0.369,0.572,0.572,0.941,0.05900000000000005
13.0,6463.0,3.0,73.0,73.0,0.698,0.698,0.0,0.698,0.30200000000000005
13.0,7729.0,3.0,101.0,101.0,0.903,0.903,0.0,0.903,0.09699999999999998
13.0,7217.0,3.0,54.0,54.0,0.961,0.961,0.0,0.961,0.039000000000000035
13.0,7241.0,3.0,94.0,94.0,0.603,0.603,0.0,0.603,0.397
13.0,6281.0,3.0,78.0,78.0,0.952,0.952,0.0,0.952,0.04800000000000004
13.0,5755.0,3.0,63.0,63.0,0.617,0.617,0.0,0.617,0.383
13.0,5165.0,3.0,62.0,62.0,0.935,0.935,0.0,0.935,0.06499999999999995
13.0,5699.0,3.0,89.0,89.0,0.882,0.882,0.0,0.882,0.118
13.0,7355.0,3.0,90.0,90.0,0.951,0.951,0.0,0.951,0.049000000000000044
13.0,4883.0,3.0,58.0,58.0,0.963,0.963,0.0,0.963,0.03700000000000003
14.0,13403.0,4.0,62.0,62.0,0.174,0.174,0.0,0.174,0.8260000000000001
14.0,15577.0,4.0,36.0,36.0,0.903,0.903,0.0,0.903,0.09699999999999998
14.0,13439.0,4.0,59.0,59.0,0.361,0.361,0.0,0.361,0.639
14.0,15163.0,4.0,42.0,42.0,0.899,0.899,0.0,0.899,0.10099999999999998
14.0,13849.0,4.0,70.0,70.0,0.554,0.554,0.0,0.554,0.44599999999999995
14.0,14257.0,4.0,47.0,47.0,0.794,0.794,0.0,0.794,0.20599999999999996
14.0,15409.0,4.0,57.0,57.0,0.852,0.852,0.0,0.852,0.14800000000000002
14.0,13271.0,4.0,25.0,25.0,0.969,0.969,0.0,0.969,0.031000000000000028
14.0,12361.0,4.0,56.0,56.0,0.716,0.716,0.0,0.716,0.28400000000000003
14.0,13057.0,4.0,50.0,50.0,0.629,0.629,0.0,0.629,0.371
15.0,23713.0,4.0,62.0,45.0,0.248,0.694,0.694,0.942,0.05800000000000005
15.0,30361.0,4.0,81.0,79.0,0.32,0.253,0.253,0.573,0.42700000000000005
15.0,30901.0,4.0,22.0,22.0,0.925,0.925,0.0,0.925,0.07499999999999996
15.0,30749.0,4.0,37.0,37.0,0.87,0.87,0.0,0.87,0.13
15.0,23389.0,4.0,62.0,62.0,0.083,0.083,0.0,0.083,0.917
15.0,24991.0,4.0,60.0,60.0,0.718,0.718,0.0,0.718,0.28200000000000003
15.0,30365.0,4.0,58.0,58.0,0.713,0.713,0.0,0.713,0.28700000000000003
15.0,32659.0,4.0,57.0,57.0,0.686,0.686,0.0,0.686,0.31399999999999995
15.0,24887.0,4.0,56.0,56.0,0.408,0.408,0.0,0.408,0.5920000000000001
15.0,27859.0,4.0,55.0,55.0,0.777,0.777,0.0,0.777,0.22299999999999998
16.0,41857.0,4.0,46.0,46.0,0.837,0.837,0.0,0.837,0.16300000000000003
16.0,64259.0,4.0,50.0,50.0,0.838,0.838,0.0,0.838,0.16200000000000003
16.0,58159.0,4.0,66.0,66.0,0.341,0.341,0.0,0.341,0.659
16.0,55613.0,4.0,68.0,68.0,0.671,0.671,0.0,0.671,0.32899999999999996
16.0,60349.0,4.0,62.0,62.0,0.654,0.654,0.0,0.654,0.346
16.0,63461.0,4.0,82.0,69.0,0.296,0.649,0.649,0.9450000000000001,0.05499999999999994
16.0,57857.0,4.0,51.0,51.0,0.809,0.809,0.0,0.809,0.19099999999999995
16.0,43489.0,4.0,46.0,46.0,0.792,0.792,0.0,0.792,0.20799999999999996
16.0,39257.0,4.0,66.0,66.0,0.699,0.699,0.0,0.699,0.30100000000000005
16.0,62261.0,4.0,85.0,85.0,0.822,0.822,0.0,0.822,0.17800000000000005
17.0,115519.0,4.0,62.0,62.0,0.443,0.443,0.0,0.443,0.5569999999999999
17.0,128839.0,4.0,53.0,53.0,0.807,0.807,0.0,0.807,0.19299999999999995
17.0,125323.0,4.0,49.0,49.0,0.732,0.732,0.0,0.732,0.268
17.0,97957.0,4.0,46.0,46.0,0.82,0.82,0.0,0.82,0.18000000000000005
17.0,82807.0,4.0,54.0,54.0,0.537,0.537,0.0,0.537,0.46299999999999997
17.0,128963.0,4.0,55.0,55.0,0.695,0.695,0.0,0.695,0.30500000000000005
17.0,109009.0,4.0,65.0,65.0,0.907,0.907,0.0,0.907,0.09299999999999997
17.0,110053.0,4.0,34.0,34.0,0.827,0.827,0.0,0.827,0.17300000000000004
17.0,128641.0,4.0,23.0,23.0,0.793,0.793,0.0,0.793,0.20699999999999996
17.0,107297.0,4.0,57.0,57.0,0.602,0.602,0.0,0.602,0.398
18.0,178331.0,4.0,79.0,79.0,0.296,0.296,0.0,0.296,0.704
18.0,186497.0,4.0,61.0,61.0,0.879,0.879,0.0,0.879,0.121
18.0,258547.0,4.0,62.0,62.0,0.85,0.85,0.0,0.85,0.15000000000000002
18.0,246823.0,4.0,81.0,76.0,0.351,0.361,0.361,0.712,0.28800000000000003
18.0,174373.0,4.0,78.0,78.0,0.738,0.738,0.0,0.738,0.262
18.0,166211.0,4.0,59.0,59.0,0.692,0.692,0.0,0.692,0.30800000000000005
18.0,242587.0,4.0,55.0,55.0,0.699,0.699,0.0,0.699,0.30100000000000005
18.0,166241.0,4.0,49.0,49.0,0.74,0.74,0.0,0.74,0.26
18.0,159517.0,4.0,69.0,69.0,0.402,0.402,0.0,0.402,0.598
18.0,214957.0,4.0,66.0,66.0,0.931,0.931,0.0,0.931,0.06899999999999995
19.0,515303.0,4.0,71.0,71.0,0.891,0.891,0.0,0.891,0.10899999999999999
19.0,440861.0,4.0,65.0,65.0,0.973,0.973,0.0,0.973,0.027000000000000024
19.0,483919.0,4.0,88.0,88.0,0.267,0.267,0.0,0.267,0.733
19.0,406639.0,4.0,66.0,66.0,0.405,0.405,0.0,0.405,0.595
19.0,297763.0,4.0,46.0,46.0,0.217,0.217,0.0,0.217,0.783
19.0,441809.0,4.0,58.0,58.0,0.597,0.597,0.0,0.597,0.403
19.0,391271.0,4.0,62.0,62.0,0.659,0.659,0.0,0.659,0.34099999999999997
19.0,382817.0,4.0,60.0,60.0,0.456,0.456,0.0,0.456,0.544
19.0,421543.0,4.0,46.0,46.0,0.835,0.835,0.0,0.835,0.16500000000000004
19.0,444679.0,4.0,69.0,69.0,0.482,0.482,0.0,0.482,0.518
20.0,927053.0,5.0,44.0,44.0,0.464,0.464,0.0,0.464,0.536
20.0,998923.0,5.0,78.0,78.0,0.177,0.177,0.0,0.177,0.823
20.0,951931.0,5.0,34.0,34.0,0.91,0.91,0.0,0.91,0.08999999999999997
20.0,884911.0,5.0,49.0,49.0,0.797,0.797,0.0,0.797,0.20299999999999996
20.0,687059.0,5.0,48.0,48.0,0.844,0.844,0.0,0.844,0.15600000000000003
20.0,926267.0,5.0,42.0,42.0,0.388,0.388,0.0,0.388,0.612
20.0,827257.0,5.0,59.0,57.0,0.288,0.247,0.247,0.5349999999999999,0.4650000000000001
20.0,755323.0,5.0,55.0,55.0,0.76,0.76,0.0,0.76,0.24
20.0,1006001.0,5.0,47.0,47.0,0.603,0.603,0.0,0.603,0.397
20.0,770689.0,5.0,38.0,38.0,0.767,0.767,0.0,0.767,0.23299999999999998
21.0,1763599.0,5.0,61.0,61.0,0.531,0.531,0.0,0.531,0.469
21.0,1350241.0,5.0,56.0,56.0,0.765,0.765,0.0,0.765,0.235
21.0,1712699.0,5.0,62.0,61.0,0.527,0.353,0.353,0.88,0.12
21.0,1721303.0,5.0,50.0,50.0,0.605,0.605,0.0,0.605,0.395
21.0,1658563.0,5.0,33.0,33.0,0.812,0.812,0.0,0.812,0.18799999999999994
21.0,1374799.0,5.0,58.0,58.0,0.838,0.838,0.0,0.838,0.16200000000000003
21.0,1991629.0,5.0,58.0,58.0,0.906,0.906,0.0,0.906,0.09399999999999997
21.0,1726559.0,5.0,53.0,53.0,0.618,0.618,0.0,0.618,0.382
21.0,1599641.0,5.0,73.0,73.0,0.417,0.417,0.0,0.417,0.583
21.0,1518371.0,5.0,53.0,53.0,0.438,0.438,0.0,0.438,0.562
22.0,3354487.0,5.0,41.0,41.0,0.945,0.945,0.0,0.945,0.05500000000000005
22.0,2596801.0,5.0,59.0,59.0,0.473,0.473,0.0,0.473,0.527
22.0,2883407.0,5.0,47.0,47.0,0.496,0.496,0.0,0.496,0.504
22.0,3395731.0,5.0,86.0,84.0,0.226,0.155,0.155,0.381,0.619
22.0,3925963.0,5.0,51.0,51.0,0.764,0.764,0.0,0.764,0.236
22.0,2731451.0,5.0,46.0,46.0,0.921,0.921,0.0,0.921,0.07899999999999996
22.0,3106907.0,5.0,66.0,66.0,0.561,0.561,0.0,0.561,0.43899999999999995
22.0,3176123.0,5.0,47.0,47.0,0.806,0.806,0.0,0.806,0.19399999999999995
22.0,2667671.0,5.0,90.0,50.0,0.082,0.144,0.237,0.319,0.681
22.0,3234899.0,5.0,78.0,67.0,0.03,0.276,0.432,0.46199999999999997,0.538
23.0,6893287.0,5.0,60.0,60.0,0.681,0.681,0.0,0.681,0.31899999999999995
23.0,8126809.0,5.0,78.0,78.0,0.228,0.228,0.0,0.228,0.772
23.0,5643343.0,5.0,81.0,75.0,0.215,0.514,0.514,0.729,0.271
