Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,365.0,3.0,93.0,93.0,0.59,0.59,0.0,0.59,0.41000000000000003
9.0,489.0,3.0,42.0,42.0,0.727,0.727,0.0,0.727,0.273
9.0,365.0,3.0,41.0,41.0,0.191,0.191,0.0,0.191,0.8089999999999999
9.0,485.0,3.0,45.0,45.0,0.502,0.502,0.0,0.502,0.498
9.0,395.0,3.0,90.0,90.0,0.392,0.392,0.0,0.392,0.608
9.0,365.0,3.0,93.0,93.0,0.568,0.568,0.0,0.568,0.43200000000000005
9.0,411.0,3.0,142.0,142.0,0.504,0.504,0.0,0.504,0.496
9.0,335.0,3.0,90.0,90.0,0.544,0.544,0.0,0.544,0.45599999999999996
9.0,489.0,3.0,42.0,42.0,0.71,0.71,0.0,0.71,0.29000000000000004
9.0,451.0,3.0,25.0,25.0,0.753,0.753,0.0,0.753,0.247
9.0,415.0,3.0,25.0,25.0,0.795,0.795,0.0,0.795,0.20499999999999996
9.0,451.0,3.0,25.0,25.0,0.741,0.741,0.0,0.741,0.259
9.0,407.0,3.0,36.0,36.0,0.956,0.956,0.0,0.956,0.04400000000000004
9.0,497.0,3.0,56.0,56.0,0.533,0.533,0.0,0.533,0.46699999999999997
9.0,505.0,3.0,81.0,81.0,0.86,0.86,0.0,0.86,0.14
9.0,505.0,3.0,45.0,45.0,0.828,0.828,0.0,0.828,0.17200000000000004
9.0,505.0,3.0,45.0,45.0,0.913,0.913,0.0,0.913,0.08699999999999997
9.0,451.0,3.0,25.0,25.0,0.962,0.962,0.0,0.962,0.038000000000000034
9.0,451.0,3.0,25.0,25.0,0.948,0.948,0.0,0.948,0.052000000000000046
9.0,473.0,3.0,107.0,107.0,0.251,0.251,0.0,0.251,0.749
9.0,481.0,3.0,39.0,39.0,0.562,0.562,0.0,0.562,0.43799999999999994
9.0,471.0,3.0,60.0,60.0,0.787,0.787,0.0,0.787,0.21299999999999997
9.0,493.0,3.0,98.0,98.0,0.401,0.401,0.0,0.401,0.599
9.0,453.0,3.0,61.0,61.0,0.886,0.886,0.0,0.886,0.11399999999999999
9.0,473.0,3.0,125.0,125.0,0.331,0.331,0.0,0.331,0.669
9.0,417.0,3.0,30.0,30.0,0.825,0.825,0.0,0.825,0.17500000000000004
