Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,65.0,65.0,0.93,0.93,0.0,0.93,0.06999999999999995
8.0,221.0,3.0,50.0,50.0,0.933,0.933,0.0,0.933,0.06699999999999995
8.0,221.0,3.0,86.0,86.0,0.672,0.672,0.0,0.672,0.32799999999999996
8.0,253.0,3.0,45.0,45.0,0.797,0.797,0.0,0.797,0.20299999999999996
8.0,201.0,3.0,76.0,76.0,0.793,0.793,0.0,0.793,0.20699999999999996
8.0,209.0,3.0,42.0,42.0,0.889,0.889,0.0,0.889,0.11099999999999999
8.0,187.0,3.0,18.0,18.0,0.84,0.84,0.0,0.84,0.16000000000000003
8.0,187.0,3.0,42.0,42.0,0.801,0.801,0.0,0.801,0.19899999999999995
8.0,205.0,3.0,108.0,105.0,0.581,0.169,0.169,0.75,0.25
8.0,215.0,3.0,70.0,70.0,0.814,0.814,0.0,0.814,0.18600000000000005
9.0,473.0,3.0,125.0,125.0,0.255,0.255,0.0,0.255,0.745
9.0,473.0,3.0,125.0,125.0,0.28,0.28,0.0,0.28,0.72
9.0,437.0,3.0,69.0,69.0,0.347,0.347,0.0,0.347,0.653
9.0,355.0,3.0,117.0,117.0,0.332,0.332,0.0,0.332,0.6679999999999999
9.0,407.0,3.0,36.0,36.0,0.941,0.941,0.0,0.941,0.05900000000000005
9.0,355.0,3.0,117.0,117.0,0.341,0.341,0.0,0.341,0.659
9.0,415.0,3.0,25.0,25.0,0.927,0.927,0.0,0.927,0.07299999999999995
9.0,415.0,3.0,25.0,25.0,0.923,0.923,0.0,0.923,0.07699999999999996
9.0,473.0,3.0,122.0,122.0,0.449,0.449,0.0,0.449,0.5509999999999999
9.0,481.0,3.0,39.0,39.0,0.863,0.863,0.0,0.863,0.137
10.0,1003.0,3.0,70.0,70.0,0.873,0.873,0.0,0.873,0.127
10.0,869.0,3.0,69.0,69.0,0.679,0.679,0.0,0.679,0.32099999999999995
10.0,905.0,3.0,60.0,60.0,0.933,0.933,0.0,0.933,0.06699999999999995
10.0,917.0,3.0,69.0,69.0,0.779,0.779,0.0,0.779,0.22099999999999997
10.0,655.0,3.0,130.0,130.0,0.861,0.861,0.0,0.861,0.139
10.0,893.0,3.0,73.0,73.0,0.788,0.788,0.0,0.788,0.21199999999999997
10.0,959.0,3.0,41.0,41.0,0.869,0.869,0.0,0.869,0.131
10.0,831.0,3.0,33.0,33.0,0.928,0.928,0.0,0.928,0.07199999999999995
10.0,755.0,3.0,78.0,78.0,0.902,0.902,0.0,0.902,0.09799999999999998
10.0,781.0,3.0,33.0,33.0,0.949,0.949,0.0,0.949,0.051000000000000045
11.0,1713.0,3.0,90.0,90.0,0.701,0.701,0.0,0.701,0.29900000000000004
11.0,1843.0,3.0,108.0,108.0,0.62,0.62,0.0,0.62,0.38
11.0,1865.0,3.0,81.0,81.0,0.555,0.555,0.0,0.555,0.44499999999999995
11.0,1967.0,3.0,153.0,111.0,0.258,0.446,0.446,0.704,0.29600000000000004
11.0,1633.0,3.0,105.0,105.0,0.649,0.649,0.0,0.649,0.351
11.0,1703.0,3.0,103.0,103.0,0.745,0.745,0.0,0.745,0.255
11.0,1821.0,3.0,50.0,50.0,0.936,0.936,0.0,0.936,0.06399999999999995
11.0,1927.0,3.0,79.0,79.0,0.736,0.736,0.0,0.736,0.264
11.0,1507.0,3.0,53.0,53.0,0.884,0.884,0.0,0.884,0.11599999999999999
11.0,1441.0,3.0,34.0,34.0,0.882,0.882,0.0,0.882,0.118
12.0,3901.0,3.0,41.0,41.0,0.85,0.85,0.0,0.85,0.15000000000000002
12.0,3397.0,3.0,67.0,67.0,0.928,0.928,0.0,0.928,0.07199999999999995
12.0,2855.0,3.0,98.0,98.0,0.546,0.546,0.0,0.546,0.45399999999999996
12.0,2831.0,3.0,73.0,73.0,0.841,0.841,0.0,0.841,0.15900000000000003
12.0,2893.0,3.0,78.0,78.0,0.574,0.574,0.0,0.574,0.42600000000000005
12.0,2605.0,3.0,57.0,57.0,0.872,0.872,0.0,0.872,0.128
12.0,3047.0,3.0,46.0,46.0,0.898,0.898,0.0,0.898,0.10199999999999998
12.0,3707.0,3.0,116.0,116.0,0.268,0.268,0.0,0.268,0.732
12.0,2981.0,3.0,47.0,47.0,0.955,0.955,0.0,0.955,0.04500000000000004
12.0,3149.0,3.0,117.0,117.0,0.259,0.259,0.0,0.259,0.741
