Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
9.0,407.0,3.0,36.0,36.0,0.995,0.995,0.0,0.995,0.0050000000000000044
9.0,511.0,3.0,82.0,82.0,0.805,0.805,0.0,0.805,0.19499999999999995
9.0,451.0,3.0,25.0,25.0,0.989,0.989,0.0,0.989,0.01100000000000001
9.0,469.0,3.0,37.0,37.0,0.982,0.982,0.0,0.982,0.018000000000000016
9.0,437.0,3.0,102.0,102.0,0.912,0.912,0.0,0.912,0.08799999999999997
9.0,355.0,3.0,117.0,117.0,0.547,0.547,0.0,0.547,0.45299999999999996
9.0,355.0,3.0,117.0,117.0,0.53,0.53,0.0,0.53,0.47
9.0,501.0,3.0,41.0,41.0,0.994,0.994,0.0,0.994,0.006000000000000005
9.0,473.0,3.0,122.0,122.0,0.488,0.488,0.0,0.488,0.512
9.0,473.0,3.0,125.0,125.0,0.333,0.333,0.0,0.333,0.667
9.0,493.0,3.0,98.0,98.0,0.496,0.496,0.0,0.496,0.504
9.0,415.0,3.0,70.0,70.0,0.783,0.783,0.0,0.783,0.21699999999999997
9.0,451.0,3.0,25.0,25.0,0.993,0.993,0.0,0.993,0.007000000000000006
9.0,411.0,3.0,142.0,129.0,0.349,0.617,0.617,0.966,0.03400000000000003
9.0,355.0,3.0,70.0,70.0,0.611,0.611,0.0,0.611,0.389
9.0,489.0,3.0,45.0,45.0,0.994,0.994,0.0,0.994,0.006000000000000005
9.0,473.0,3.0,125.0,125.0,0.317,0.317,0.0,0.317,0.683
9.0,493.0,3.0,122.0,122.0,0.87,0.87,0.0,0.87,0.13
9.0,453.0,3.0,70.0,70.0,0.953,0.953,0.0,0.953,0.04700000000000004
9.0,365.0,3.0,41.0,41.0,0.764,0.764,0.0,0.764,0.236
10.0,1007.0,3.0,69.0,69.0,0.943,0.943,0.0,0.943,0.05700000000000005
10.0,815.0,3.0,91.0,91.0,0.585,0.585,0.0,0.585,0.41500000000000004
10.0,893.0,3.0,73.0,73.0,0.989,0.989,0.0,0.989,0.01100000000000001
10.0,655.0,3.0,125.0,94.0,0.107,0.278,0.278,0.385,0.615
10.0,755.0,3.0,78.0,78.0,0.966,0.966,0.0,0.966,0.03400000000000003
10.0,737.0,3.0,99.0,99.0,0.523,0.523,0.0,0.523,0.477
10.0,933.0,3.0,37.0,37.0,0.99,0.99,0.0,0.99,0.010000000000000009
10.0,895.0,3.0,49.0,49.0,0.952,0.952,0.0,0.952,0.04800000000000004
10.0,655.0,3.0,94.0,94.0,0.813,0.813,0.0,0.813,0.18700000000000006
