Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,131.0,131.0,0.591,0.591,0.0,0.591,0.40900000000000003
8.0,221.0,3.0,161.0,161.0,0.552,0.552,0.0,0.552,0.44799999999999995
8.0,221.0,3.0,161.0,161.0,0.86,0.86,0.0,0.86,0.14
8.0,253.0,3.0,102.0,102.0,0.561,0.561,0.0,0.561,0.43899999999999995
8.0,201.0,3.0,306.0,306.0,0.566,0.566,0.0,0.566,0.43400000000000005
8.0,209.0,3.0,515.0,505.0,0.145,0.329,0.329,0.474,0.526
8.0,187.0,3.0,477.0,477.0,0.71,0.71,0.0,0.71,0.29000000000000004
8.0,187.0,3.0,337.0,337.0,0.409,0.409,0.0,0.409,0.591
8.0,205.0,3.0,290.0,290.0,0.312,0.312,0.0,0.312,0.688
8.0,215.0,3.0,433.0,433.0,0.318,0.318,0.0,0.318,0.6819999999999999
9.0,473.0,3.0,305.0,305.0,0.319,0.319,0.0,0.319,0.681
9.0,473.0,3.0,445.0,445.0,0.719,0.719,0.0,0.719,0.281
9.0,437.0,3.0,131.0,131.0,0.647,0.647,0.0,0.647,0.353
9.0,355.0,3.0,348.0,348.0,0.767,0.767,0.0,0.767,0.23299999999999998
9.0,407.0,3.0,237.0,237.0,0.713,0.713,0.0,0.713,0.28700000000000003
9.0,355.0,3.0,348.0,348.0,0.767,0.767,0.0,0.767,0.23299999999999998
9.0,415.0,3.0,316.0,316.0,0.428,0.428,0.0,0.428,0.5720000000000001
9.0,415.0,3.0,316.0,316.0,0.392,0.392,0.0,0.392,0.608
9.0,473.0,3.0,278.0,278.0,0.593,0.593,0.0,0.593,0.40700000000000003
9.0,481.0,3.0,534.0,534.0,0.659,0.659,0.0,0.659,0.34099999999999997
10.0,1003.0,3.0,367.0,367.0,0.734,0.734,0.0,0.734,0.266
10.0,869.0,3.0,197.0,197.0,0.615,0.615,0.0,0.615,0.385
10.0,905.0,3.0,218.0,218.0,0.568,0.568,0.0,0.568,0.43200000000000005
10.0,917.0,3.0,486.0,486.0,0.137,0.137,0.0,0.137,0.863
10.0,655.0,3.0,200.0,200.0,0.508,0.508,0.0,0.508,0.492
10.0,893.0,3.0,281.0,281.0,0.726,0.726,0.0,0.726,0.274
10.0,959.0,3.0,90.0,90.0,0.787,0.787,0.0,0.787,0.21299999999999997
10.0,831.0,3.0,700.0,616.0,0.263,0.217,0.422,0.685,0.31499999999999995
10.0,755.0,3.0,273.0,273.0,0.439,0.439,0.0,0.439,0.5609999999999999
10.0,781.0,3.0,33.0,33.0,0.729,0.729,0.0,0.729,0.271
11.0,1713.0,3.0,284.0,284.0,0.554,0.554,0.0,0.554,0.44599999999999995
11.0,1843.0,3.0,126.0,126.0,0.643,0.643,0.0,0.643,0.357
11.0,1865.0,3.0,104.0,104.0,0.718,0.718,0.0,0.718,0.28200000000000003
11.0,1967.0,3.0,325.0,325.0,0.377,0.377,0.0,0.377,0.623
11.0,1633.0,3.0,285.0,285.0,0.34,0.34,0.0,0.34,0.6599999999999999
11.0,1703.0,3.0,405.0,394.0,0.248,0.398,0.398,0.646,0.354
11.0,1821.0,3.0,210.0,210.0,0.493,0.493,0.0,0.493,0.507
11.0,1927.0,3.0,277.0,277.0,0.54,0.54,0.0,0.54,0.45999999999999996
11.0,1507.0,3.0,162.0,162.0,0.625,0.625,0.0,0.625,0.375
11.0,1441.0,3.0,205.0,205.0,0.6,0.6,0.0,0.6,0.4
12.0,3901.0,3.0,196.0,196.0,0.795,0.795,0.0,0.795,0.20499999999999996
12.0,3397.0,3.0,320.0,320.0,0.403,0.403,0.0,0.403,0.597
12.0,2855.0,3.0,357.0,357.0,0.525,0.525,0.0,0.525,0.475
12.0,2831.0,3.0,255.0,255.0,0.491,0.491,0.0,0.491,0.509
