p,alpha
1,0.5477007641988149
2,0.40117356275661414
3,0.31073173615140104
4,0.2536115334396076
5,0.2199137752849031
6,0.1883849707406598
7,0.16785258239289694
8,0.15336999537878418
9,0.14218826058120318
10,0.13770014779896161
