p,alpha
1,0.49625956742686944
2,0.38244833432044956
3,0.3084743639572015
4,0.2579953902570433
5,0.21981857738106117
6,0.21804211809149882
7,0.17076581982679206
8,0.16178286697244817
9,0.14857630686960288
10,0.15144522438318705
