p,alpha
1,0.5164308386356165
2,0.3947376674409125
3,0.31147002473446206
4,0.29765763718057314
5,0.2604425711933452
6,0.2537549484501117
7,0.1970108588976053
8,0.17832191100949424
9,0.16600006575632142
10,0.16870423847158972
