p,alpha
1,0.5601907775022433
2,0.39511681822578554
3,0.30516302799407075
4,0.2573657669996288
5,0.2211996726477763
6,0.1923975157118496
7,0.17004031672375286
8,0.15068368307651123
9,0.14587091347458103
10,0.13666794935698748
