p,alpha
1,0.5787485554697483
2,0.3964732058515316
3,0.304742445101918
4,0.2638154713794671
5,0.2525381009884224
6,0.21593408333867758
7,0.22264022132522263
8,0.19091915404969756
9,0.24898825957642265
10,0.1582573836785565
