p,alpha
1,0.4965913893768009
2,0.3819309598097928
3,0.3092092630695604
4,0.29412679868320274
5,0.2623429016842223
6,0.2539016793516671
7,0.1933731385417553
8,0.18330655561735218
9,0.16865940092161208
10,0.16138254221710632
