p,alpha
1,0.5108918562635268
2,0.37588697332493404
3,0.30986308021403997
4,0.24983295674048292
5,0.2115218647001597
6,0.21359015060294664
7,0.16685822634073413
8,0.15695184084220282
9,0.15232961069433149
10,0.15911116019554364
