p,alpha
1,0.5190655394817523
2,0.39470900214169974
3,0.3113498742286414
4,0.2601899266857194
5,0.21829357990600726
6,0.21700894216647434
7,0.1732731185180415
8,0.15651725732094082
9,0.14939779827751248
10,0.15818749715738478
