p,alpha
1,0.587044481881345
2,0.381212963963969
3,0.297613352732681
4,0.25891516529061354
5,0.2472239896794331
6,0.20858932548237372
7,0.2329186997770906
8,0.18700413928878323
9,0.24919203242581922
10,0.15938547307787906
