p,alpha
1,0.5078659187723805
2,0.37440538019146935
3,0.3094384501088177
4,0.28456346638855917
5,0.2529394142932722
6,0.2477290039604159
7,0.18970114388939935
8,0.17873375166451216
9,0.16957313755747205
10,0.16868814130294216
