p,alpha
1,0.5686309682988611
2,0.381219886952807
3,0.2976054982309669
4,0.2536796069278573
5,0.21959097930603041
6,0.18665576787899452
7,0.1783812754099126
8,0.14911981387380563
9,0.14515977279234218
10,0.13754947771059514
