p,alpha
1,0.565601482921697
2,0.39978111621982326
3,0.3108289054432868
4,0.25953029362363217
5,0.24948657084981973
6,0.21147377601965073
7,0.21667159404657782
8,0.19602335537742005
9,0.2462641084127249
10,0.15979159536752718
