Bit_length,beta,gamma
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
4,-0.7763747946773001,0.7750943293961875
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
5,-0.7838256333344293,0.8162403322299959
6,0.7814552411000737,-0.8141014213125097
6,-0.7813469432278305,0.7851262490202641
6,0.7618548815260403,-0.791371458440466
6,-0.7813469432278305,0.7851262490202641
6,-0.7813469432278305,0.7851262490202641
6,0.7618548815260403,-0.791371458440466
6,0.7618548815260403,-0.791371458440466
6,0.7618548815260403,-0.791371458440466
6,0.7814552411000737,-0.8141014213125097
6,0.7618548815260403,-0.791371458440466
7,-0.7606577279721894,0.7836275378882229
7,-0.7606577279721894,0.7836275378882229
7,0.7813520067262125,-0.8188436985350319
7,-0.7606577279721894,0.7836275378882229
7,-0.7820963122376615,0.8615611521464019
7,-0.6459867162355343,0.6134590188128513
7,-0.7822738271048336,0.8600405161691558
7,-0.7606577279721894,0.7836275378882229
7,-0.7822738271048336,0.8600405161691558
7,-0.7606577279721894,0.7836275378882229
8,0.6636978040043333,-0.7049541971780273
8,-0.42569922317031567,0.4547880577914227
8,0.753751599616119,-0.7170225690597172
8,-0.7605997901501491,0.8113278336076815
8,-0.6702021713388292,0.6639183662683534
8,-0.7083037733282962,1.394708270278802
8,-0.7165629683604833,0.681831798039887
8,-0.7694439950214762,0.8051702227722188
8,0.7471206101049633,-0.7450206251764631
8,0.7736617435460582,-0.8671181614974376
9,-0.6336885710343216,0.6527300583171963
9,0.7567023325891508,-0.7738047071658501
9,0.7814160697897672,-0.7942501975738007
9,-2.6532046970067533,-0.5836136675174411
9,-0.7406184131464776,0.6941251918003245
9,-0.503613732289273,0.613041128150654
9,0.5130962821387391,-0.5336792060643067
9,0.7457334137226683,-0.7188935656727725
9,0.7738738200038288,-0.8340374150108504
9,0.7334156882027393,-0.7618005432910614
10,0.48239395176409217,-0.4420712053948268
10,0.6795791171034441,-0.7119807941316529
10,-0.7145014343613939,0.7463877338341003
10,0.5340463376224285,-0.5352550716767807
10,0.7460854720036704,-0.7979754489771096
10,0.6392207645647241,-0.6345371636893593
10,0.7154467320767733,-0.7109964319634029
10,-0.757722697710143,0.8017506185518395
10,0.7256698666404212,-0.8394435265802259
10,0.6358277886935074,-0.6540983241846725
11,-0.5155855428385367,0.6288628415070157
11,-0.8336194990932813,2.19930321107379
11,-0.5155855428385367,0.6288628415070157
11,-0.6554987596878912,0.6433641629309909
11,-0.6601535709556466,0.6364371125432099
11,0.49481984573307397,-0.55864212981635
11,-0.561449822463528,0.47689330718007517
11,0.6720280907688595,-0.6222642525409904
11,-0.6453765499130611,0.6132717324864284
11,-0.5058765581291813,0.6065736883399998
12,0.593911038780808,-0.544003602307715
12,-0.7196276766968815,0.7677519974897559
12,-0.6767202691138389,0.7240425717039175
12,0.7743082094056422,-0.9171183206853878
12,0.6953142255888792,-0.6606901938143639
12,0.6328800605154734,-0.6632863587879556
12,0.5901611444869513,-0.5734943810587856
12,-2.768904407815161,1.50062589296991
12,-0.7129279471658309,0.7745061501158133
12,0.5920881566630701,-0.5795643419301898
13,1.0444356052767434,1.9403423910913846
13,-0.7368056327579747,0.7493549410044439
13,0.6668043117447942,-0.7809214894051456
13,0.5689826804624502,-0.510465387012612
13,0.767430774823582,-0.8656108205482601
13,0.7339727365103856,-0.7378589589314717
13,-0.6858142060227802,0.7423549971769028
13,0.40668544062272355,1.4844039948903172
13,0.7248023054496223,-0.6810480253655038
13,0.6668043117447942,-0.7809214894051456
14,-0.6715162542367455,0.6570790750537774
14,-0.6472364547372516,0.7103213128386698
14,-0.5728078926215363,0.6219074042150263
14,-0.40916897621352233,0.47611949270367154
14,0.6734364367488124,-0.6628412771001211
14,-0.5977814504485269,0.6016186368782244
14,0.4615680269515614,-0.5797340343890552
14,0.6061291629546995,-0.6292485023235729
14,-0.617080039868216,0.7431462502053181
14,-0.5630878050497065,0.513610019186414
15,-0.5365438753934342,0.6394273079392884
15,-0.588429821363701,0.6103246612129939
15,-0.5855641224621605,0.6128090349200701
15,0.6328849700363589,-0.7106828501170142
15,-0.6904220998050041,0.7528684284549809
15,-0.7378754982930639,0.742002609315513
15,0.5405196968154056,-0.47740224364969064
