Bit_length,beta,gamma
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
4,-0.7763741881272653,0.7751275963664237
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
5,0.7838517352644112,-0.8162879579850326
6,-0.7814132518407421,0.8141842155043701
6,-0.7813810612017502,0.7851910089531089
6,0.7619083609900821,-0.7913632774548724
6,-0.7813810612017502,0.7851910089531089
6,-0.7813810612017502,0.7851910089531089
6,0.7619083609900821,-0.7913632774548724
6,0.7619083609900821,-0.7913632774548724
6,0.7619083609900821,-0.7913632774548724
6,-0.7814132518407421,0.8141842155043701
6,0.7619083609900821,-0.7913632774548724
7,0.7606306563035687,-0.7835942724821157
7,0.7606306563035687,-0.7835942724821157
7,-0.7813863957381273,0.8188092496304076
7,0.7606306563035687,-0.7835942724821157
7,0.7820330349447304,-0.8615892264012764
7,0.6460134200414418,-0.6134670873799771
7,-0.7823110880967994,0.8600977813321228
7,0.7606306563035687,-0.7835942724821157
7,-0.7823110880967994,0.8600977813321228
7,0.7606306563035687,-0.7835942724821157
8,-0.7485408286439017,0.8192947401690318
8,-0.42570620412780724,0.45475072411318146
8,0.7537997471491285,-0.7170804267491699
8,0.7606947794016281,-0.8113093388820237
8,-0.5934980020139775,0.6103045753204563
8,0.5697637444317936,-0.6010823030130499
8,-0.7485408286439017,0.8192947401690318
8,0.6957103768490391,-0.8362440501955054
8,0.7150866293785405,-0.6463039056016597
8,0.7737318170953322,-0.8670927830377814
9,-0.7833180861836431,0.8515682942046365
9,0.7844314983129776,-0.781844505569038
9,0.6845960145042722,-0.7145294185861504
9,-0.7704146692781391,0.8046883699516816
9,-0.7824711020154231,0.8247170222442521
9,0.7251801432490402,-0.7196523061239201
9,-0.7509651389301728,0.7941568951698712
9,-0.7824711020154231,0.8247170222442521
9,0.693606979994143,-0.7056469612509062
9,0.7251801432490402,-0.7196523061239201
